Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,Milk Free
Simply Lemonade with Raspberry,,$4.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_289f2055-8f83-4cdd-adb0-9b3d76baa65d.png 4x,,,"Our delicious lemonade is made simply, with natural ingredients and a delicate balance of sweet and sour. For Simply Lemonade with Raspberry, we added an extra twist—the sweet taste of raspberries.,Delicious and refreshing, Simply Lemonade with Raspberry is a delightful, all-natural and non-GMO fruit juice beverage that tastes as close to homemade lemonade as you can get, all in one beautifully simple bottle. There are no surprises here. Just simple ingredients and a deliciously refreshing taste.,One sip of this all-natural refreshment can take you right back to an ice-cold glass pitcher on a lazy summer afternoon or makeshift lemonade stands on quiet neighborhood streets. That’s because Simply Lemonade with Raspberry tastes as close to homemade as it gets.,Be sure to try all Simply Lemonade flavors, like original Simply Lemonade, Simply Lemonade with Blueberry or Simply Lemonade with Strawberry.,Simply products start with great-tasting fruit and end with great-tasting fruit juices, fruit drinks and fruit smoothies. That’s because we believe the best things in life are made simply. And we hold everything—from all-natural Simply Fruit Punch to Simply Lemonade—to the same high standard with our “Fresh Taste Guarantee.” Whatever juice or juice drink you’re looking for, the choice is simple.,With Simply Lemonade with Raspberry, the difference is clear. Clear enough that you can see the all-natural ingredients inside. Because with Simply, there’s nothing to hide.,• Made with real lemon juice,• A twist of raspberry for a delicious blend of juices/flavors,• Classic, fresh homemade lemonade taste,• All-natural, Non-GMO Project Verified — Ingredients in this beverage are not genetically engineered,• With Simply, you always have a “Fresh Taste Guarantee”","Filtered Water, Cane Sugar, Lemon Juice, Raspberry Puree, Natural Flavors","Shake well.,Keep refrigerated.,Best if used within 7-10 days after opening.",,
Capri Sun Pacific Cooler Mixed Fruit Naturally Flavored Juice Drink Blend,$4.39,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_82b10e03-f5d7-4df1-86a7-e10adaeb8172.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_48bc1804-88bb-47e3-beb1-3d3086b19b0a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fa9b6eee-0e36-47e6-a866-84f32980ccfb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d7ca5381-5ea8-4504-821e-09f921d70896.jpg 4x",,,"Grab a little juicy freedom with Capri Sun Pacific Cooler Mixed Fruit Flavored Juice Drink Blend. Kids will love the taste of our Capri Sun, made with a new and improved formula. Made with the all-natural sweetener, monk fruit, our Pacific Cooler drink has a fruity flavor of apples and grapes that's joyfully refreshing. We never add artificial flavors, colors, preservatives or high-fructose corn syrup to our pouches. Each 6 fluid ounce pouch in our 10 count box comes with a straw, so they're ready for kids to squeeze and sip. Unleash kids' independence with a ready-to-drink Capri Sun.,• One box of Capri Sun Pacific Cooler Mixed Fruit Flavored Juice Drink Blend (10 ct 6 fl oz pouches),• Capri Sun Naturally Flavored Pacific Cooler Mixed Fruit Juice Drink Blend is a fun, refreshing kids juice with all natural ingredients,• Our ready-to-drink juice pouches offer a convenient way for kids to hydrate,• A blast of mixed fruit flavor from natural ingredients gives our kids drinks an extra juicy taste,• Packaged in a convenient pouch for school lunches and on-the-go activities,• Seize the fruity pouch and stay hydrated with our ready-to-drink juice blend,• SNAP & EBT eligible food item","Filtered Water, Sugar, Pear, Grape And Orange Juice Concentrates, Monk Fruit Concentrate, Citric Acid, Pineapple And Apple Juice Concentrates, Natural Flavor, Mushroom Extract (to Protect Quality)",Insert straw into pouch.,Contains 10% juice,
Ocean Spray Cranberry Juice Cocktail,$4.59,$6.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_504f027b-40a9-41a9-85cb-e91848e11145.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9a4571f3-3bf7-491e-a98a-114c9a5875cf.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_112dcacc-b10f-4aa5-af37-3b81222f052d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dd378b78-9e4a-468c-bdda-932439c3aa2c.jpg 4x",,,"Crisp. Clean. Straight from the bog. Experience the insane deliciousness of Ocean Spray® Cranberry Juice Cocktail. The trailblazing juice drink made with bold cranberry fruit juice concentrate. This fruit juice beverage packs 100% of your recommended daily value of vitamin C in a single serving. No high fructose corn syrup. This beverage has only the good stuff. Use this cranberry juice drink as a cocktail mixer for radically refreshing drinks. Serve it over ice with a splash of vodka for a tangy cranberry cocktail. Or change up dinner with some cranberry drunken chicken or cranberry cocktail meatballs. Original Cranberry makes a delicious, unique addition to blended beverages and ice pops, too. Get creative. Go bog-wild. All this made possible by the 700+ cranberry farming families that make up our co-op. Our owners. Our heartbeat. Our inspiration. Ocean Spray believes in the power of the mighty cranberry; Born Tart. Raised Bold.™,• One (1) 64 fl oz bottle of Ocean Spray® Cranberry Juice Cocktail,• Made from real fruit juice concentrate and no high fructose corn syrup, this beverage has only the good stuff for cranberry goodness,• 100% of your recommended daily value of vitamin C per 8 fl oz serving,• Get creative mixing Cranberry Juice Cocktail into alcoholic beverages, use it as the star in baked goods or enjoy it on its own,• Ocean Spray believes in the power of the mighty cranberry; Born Tart. Raised Bold.™","Filtered Water, Cranberry Juice (water, Cranberry Juice Concentrate), Sugar, Ascorbic Acid (vitamin C), Vegetable Concentrate For Color","Must refrigerate after opening. For best quality and freshness, use within two weeks after opening.",Safety Cap: Purchase this product only if the cap and neckband are intact.,
"Simply Lemonade, All Natural Non-Gmo",,$2.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c5d2c670-d0f4-4bd1-9656-45ca68cc30c2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e519e02f-8a8d-4637-b314-f70fc148ceff.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c37f3f94-b958-46af-aaae-ddb5b498df53.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c2da7ba7-92a5-4477-8d23-a336de830419.jpg 4x",Gluten Free,,"When you think of lemonade, your mind is immediately filled with images of fresh lemons, simple ingredients, cold glass pitchers, lemonade stands and hot summer days. And it’s easy to imagine why. Nothing can beat the taste of fresh lemonade.,Which is why we made Simply Lemonade—so you can have that same perfect experience without the work. It’s the feeling you know and love that classic lemonade brings, captured and bottled perfectly. Made with real lemon juice and other all-natural ingredients, it’s everything you love about lemonade—minus the inconvenience of having to make it yourself.,And while that homemade lemonade taste is no doubt both delicious and nostalgic, Simply Lemonade also comes in Blueberry, Raspberry and Strawberry flavors for when you need to satisfy a different kind of taste. Perfect and unapologetic blends of sweet and sour means you’ll never get tired of the all-natural drink that’s truly been tried and tested.,With Simply Lemonade, the difference is clear. Clear enough that you can see the all-natural ingredients inside. Because with Simply, there’s nothing to hide.,• Never sweetened, never concentrated and never frozen,• ‘Fresh Taste Guarantee’— a promise that's printed right on the seal of every Simply bottle,• Honestly Simple - Simply uses only simple ingredients that are easily recognizable,• All-natural, Non-GMO Project Verified — Ingredients in this beverage are not genetically engineered,• Made with real lemon juice","Contains Pure Filtered Water, Lemon Juice, Cane Sugar, Natural Flavors","Shake well.,Keep refrigerated.,Best if used within 7-10 days after opening.",Do not reuse.,
"Dole 100% Juice, Pineapple",,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d29e0ad0-e19b-42c5-a674-5bfd55f82189.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3b395dd5-0165-43cd-bc63-0ab3ae4d886d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4c23e984-7d84-4466-aa67-ac2b429d9bc9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3b5722b3-cf0f-498b-86df-723c6ea64931.png 4x",,,"Dole Packaged Foods, LLC is a world leader in growing, sourcing, distributing, and marketing fruit and healthy snacks. Dole sells a full line of packaged shelf stable fruit, frozen fruit, dried fruit, and juices. The company focuses on four pillars of sustainability in all its operations: water management, carbon footprint, soil conservation, and water reduction. Pineapples are a symbol of hospitality, tropical vacations and fun, so it makes sense Dole would take this yummy goodness and put it in a can. Dole Canned 100% Juice is refreshing, exotic and a delicious alternative to other juices. Dole Juice is 100% juice that is an excellent source of Vitamin C and a good source of vitamins A & E. Naturally gluten free and in BPA free packaging, it tastes great on its own, or in your favorite smoothie, mocktail, cocktail, or marinade. Store unopened juice in a cool, dry place. If you prefer a chilled juice, keep an unopened can in your refrigerator. Shake well before serving. After opening, store in a glass or plastic container in the refrigerator.,• Dole® Pineapple Juice is 100% juice, so it’s full of natural vitamins with no added sugar or genetically modified ingredients,• Dole® Pineapple Juice is gluten free and makes for a delicious mid-day treat for health-minded people who love juice,• Dole® Pineapple Juice is delicious and refreshing; take it on the go for a tropical twist at the office, gym, or outdoors,• With Added vitamin C, Not a low calorie food; See Nutrition Facts panel for sugar and calorie content","Pineapple Juice, Ascorbic Acid (vitamin C)",Best served chilled. Shake well before drinking.,,
Hawaiian Punch Fruit Juicy Red,$4.59,$6.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e7a3a3c4-ecaf-4551-9306-b84d00cc55bf.jpeg 4x,Gluten Free,,"When it comes to fruit juice drinks, nothing compares to Hawaiian Punch. Bursting with the bold taste of tropical fruit flavors, Hawaiian Punch has a fun and delicious taste kids and the whole family can enjoy anytime and anywhere. Convenient and delicious, Hawaiian Punch is the perfect fruit drink when you want a blast of tropical fruit flavor! Hawaiian Punch goes great with snacks or a meal, is perfect for on-the-go, can easily be packed into a lunch box, and can be enjoyed all by itself. Hawaiian Punch is available in flavors Fruit Juicy Red, Polar Blast, Lemon Berry Squeeze, Orange Ocean, Green Berry Rush, Berry Blue Typhoon, Watermelon Berry Boom, Lemonade, Cowabunga Grape, Pineapple Plunge and many more. There is a Hawaiian Punch fruit juice drink flavor for everyone! Hawaiian Punch is caffeine-free, carbonation-free, gluten-free and is an excellent source of Vitamin C. Created in California, Hawaiian Punch has been an American favorite since 1934. Hawaiian Punch was originally developed from ingredients shipped from Hawaii. In fact, that’s how we came up with the name. Treat your family to the delicious and refreshing taste of Hawaiian Punch. Enjoy the wave of flavor with every sip of Hawaiian Punch!","Water, High Fructose Corn Syrup, Less Than 2% Of: Concentrated Juices (apple, Clarified Pineapple, Passionfruit, Orange), Fruit Purees (apricot, Papaya, Guava), Ascorbic Acid (vitamin C), Citric Acid, Natural And Artificial Flavors, Pectin, Acacia Gum, Ester Gum, Red 40, Blue 1, Sucralose, Potassium Sorbate And Sodium Hexametaphosphate (preservatives)","For best taste, serve chilled.",,
Naked Strawberry Banana Juice,,$4.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9e8919cd-9ebc-4e27-8357-92b7d9bcf039.png 4x,Gluten Free,,"Naked Juice Strawberry Banana is a tasty fruit smoothie drink that ticks all the boxes. One bottle contains more than 10 strawberries - can you imagine?,Made with real fruit and no added sugar,* the Strawberry Banana fruit smoothie is a delicious way to help fuel your daily adventures. It’s masterfully crafted from the perfect blend of strawberry, apple, banana, and a hint of orange. Whether it’s for starting your day, recharging after a busy afternoon or for your family on the way to school, it's a great taste that's a perfect choice in every situation. The handy 15.2 oz bottle is also easy to take and enjoy on the go.,Apart from Strawberry Banana, there’s a whole range of other delicious smoothies that will help you nourish and rebalance. If you’re looking for protein, immune support or juice blends, Naked Juice provides a bottle of goodness that’s got you covered.,Naked remains true to its original purpose - to help people get more out of life. It's doing what it does best: crafting an expertly blended juice beverage into the tastiest drink you can imagine.,*Not a low calorie food. See nutrition information for calorie and sugar content.,• An unbelievably tasty smoothie packed with more than 10 strawberries,• Masterfully crafted, lip-smacking fruit smoothie with no sugar added*,• Plant-based, vegan, no preservatives and non-GMO Project verified,• Fruit smoothie that contains fiber and is packed with potassium,• Great tasting nutrition to start your day or refuel between meals","Apple Juice From Concentrate (water, Apple Juice Concentrate), Banana Puree, Strawberry Puree, Orange Juice, Natural Flavor, Fruit Juices For Color.","Shake well! Separation is natural.,Perishable. Keep refrigerated.",,
"Naked Green Machine Flavored 100% Juice Smoothie Blend, 15.2 fl oz Bottle",$4.09,$4.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cb1fec5a-3d7b-43b1-81aa-95e18c71d4fa.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a27060f6-c304-42a6-aba4-f84f51239e2a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ac05f928-cdd0-4405-b8a3-492abedbe3cb.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d723b913-3f56-4f69-b607-1b73b0aaf9ca.png 4x",,,"Naked Juice Green Machine is the iconic green juice smoothie that ticks all the boxes. It looks weird – it’s green – but tastes amazing.,Made from 100% real fruit and veggies and with no added sugar,* Green Machine is a delicious way to help fuel your daily adventures. It’s masterfully crafted from the perfect blend of apple, mango, pineapple, banana, kiwi, spinach and other quality ingredients. Whether it’s for starting your day, recharging after a busy afternoon or for your family on the way to school, it's a great taste that's a perfect choice in every situation. The handy 15.2 oz bottle is also easy to take and enjoy on the go.,Green Machine is the smoothie that started the Naked Juice revolution, but there’s a whole range of other delicious Machines that will help you refresh and recharge. If you’re looking for protein, immune support or juice blends, Naked Juice provides a bottle of goodness that’s got you covered.,Naked remains true to its original purpose - to help people get more out of life. It's doing what it does best: crafting an expertly blended juice beverage into the tastiest drink you can imagine.,*Not a low calorie food. See nutrition information for calorie and sugar content.,• Green Machine is the iconic smoothie made with real fruit and veggies,• No sugar added* and a boost of broccoli, spinach, kale and more,• Plant-based, vegan, no preservatives and non-GMO Project verified,• Green Machine tastes amazing and contains vitamins A, C and B6,• Great tasting nutrition to start your day or refuel between meals","Apple Juice From Concentrate (water, Apple Juice Concentrate), Mango Puree, Pineapple Juice, Banana Puree, Kiwi Puree, Spirulina, Natural Flavor, Alfalfa, Broccoli, Spinach, Barley Grass, Wheatgrass, Ginger Root, Parsley, Kale, Odorless Garlic.",Perishable. Keep refrigerated.,Contains wheat from wheatgrass.,
V8 Tropical Blend Flavored Juice Beverage,$3.79,$4.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_51d5dcf8-61fd-4010-91ab-f3048fad06fb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1a1438aa-9138-4293-9ee6-5061f7815549.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d27b0df1-9c8f-4950-af68-fa37a93bb38e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d5b45dc0-048a-40af-baa1-beaed6fec8c9.jpg 4x",Gluten Free,,"Quench your thirst with the refreshing taste of V8 Splash® Tropical Blend Flavored Juice Beverage. This 5% juice blend is made from concentrated carrot juice with the natural flavors of tropical fruit for a tasty drink with a satisfying splash of delicious fruit flavor. V8 Splash® Tropical Blend juice beverage contains 25% less sugar than leading juice drink brands,* plus Antioxidant C and B Vitamins. It’s also gluten free and fat free. With only 40 calories per serving, V8 Splash® is a lower calorie alternative to orange juice and apple juice. Serve a cold glass of this fruit flavored drink in the morning or as part of an after-school snack. V8 Splash® is also delicious in homemade smoothies and makes a great mocktail or cocktail mixer. In addition to Tropical Blend, V8 Splash® Juice is also available in Strawberry Kiwi, Fruit Medley, and other refreshing fruit flavors. (*Per 8 fl oz: Leading shelf stable brands, 17g; Splash, 10g)","Water, Carrot Juice Concentrate, High Fructose Corn Syrup, Malic Acid, Natural Flavoring, Vitamin C (ascorbic Acid), Sucralose, Niacinamide (vitamin B3), Licorice Root Extract (for Flavor), Pyridoxine Hydrochloride (vitamin B6), Cyanocobalamin (vitamin B12)",Shake Well Before Opening.,Do not purchase unless cap and neckband are intact.,
Kool-Aid Jammers Tropical Punch Flavored Kids 0% Juice Drink Pouches,$3.49,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e877b9d6-a77b-4057-8223-9f0028d6f9be.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e32df39c-b409-436e-a667-d3c4b171e7e1.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_23f830d1-3343-4758-99b2-68d80f040e59.jpg 4x",,,"Kool-Aid Jammers Artificially Flavored Tropical Punch Drink Pouches deliver classic juice box fun with a sweet blend of sunny, tropical flavors. Our delicious kids drinks contain 55% less sugar than leading regular sodas, making our drink the perfect anytime beverage. Packed in a convenient pouch, kids can enjoy Kool-Aid at home, at the beach or with their school lunch. If your kids love juice boxes, try Kool-Aid Jammers. Each box of Artificially Flavored Tropical Punch Kool-Aid Jammers contains ten 6 fluid ounce drink pouches to enjoy anywhere. Available in a rainbow of flavors!,• Ten 6 fl oz pouches of Kool-Aid Jammers Artificially Flavored Tropical Punch Drink,• Kool-Aid Jammers Artificially Flavored Tropical Punch Drinks kids drink pouches are bursting with fun flavors,• Our fruity kids juice pouches are easy to open and enjoy on-the-go,• Each juice pouch contains 55% less sugar than leading regular sodas (our product 16g total sugar, leading regular sodas 40g total sugar per 12 fl. oz. serving),• Kids love our drink pouches packed with fruit flavors,• Perfect for school lunches or on-the-go snacks,• SNAP & EBT eligible food item","Filtered Water, High Fructose Corn Syrup, Contains Less Than 2% Of Citric Acid, Ascorbic Acid (vitamin C), Natural And Artificial Flavor, Sucralose (sweetener), Blue 1, Calcium Disodium Edta (to Preserve Freshness).",Insert straw into pouch.,"Do not drink if pouch is leaking, damaged, or swollen as fermentation can occur.",
"Dole 100% Juice, Pineapple",,$4.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_df658435-7451-4bea-8d51-56305a30c8a6.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_07ab8688-edf7-4ff4-81ec-fcaf4fca1411.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4867d867-32dc-45c5-9d46-7262669c2c71.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_10ee5027-3ffd-4bf8-8cf9-dab1818b1617.png 4x",Gluten Free,,"Dole Packaged Foods, LLC is a world leader in growing, sourcing, distributing, and marketing fruit and healthy snacks. Dole sells a full line of packaged shelf stable fruit, frozen fruit, dried fruit, and juices. The company focuses on four pillars of sustainability in all its operations: water management, carbon footprint, soil conservation, and water reduction. Pineapples are a symbol of hospitality, tropical vacations and fun, so it makes sense Dole would take this yummy goodness and put it in a can. Dole Canned 100% Juice is refreshing, exotic and a delicious alternative to other juices. Dole Juice is 100% juice that is an excellent source of Vitamin C and a good source of vitamins A & E. Naturally gluten free and in BPA free packaging, it tastes great on its own, or in your favorite smoothie, mocktail, cocktail, or marinade. Store unopened juice in a cool, dry place. If you prefer a chilled juice, keep an unopened can in your refrigerator. Shake well before serving. After opening, store in a glass or plastic container in the refrigerator.,• Dole® Pineapple juice is 100% juice, so it’s full of natural vitamins with no added sugar or genetically modified ingredients,• Dole® Pineapple juice is gluten free and makes for a delicious mid-day treat for health-minded people who love juice,• Dole® Pineapple juice is delicious and refreshing; perfect for drinking on its own or in your favorite party punch,• With Added vitamin C, Not a low calorie food; See Nutrition Facts panel for sugar and calorie content",Pineapple Juice And Ascorbic Acid (vitamin C).,"Shake well before using.,Deliciously refreshing on its own or mixed in cocktails & smoothies. Best served chilled.,After opening, refrigerate contents in a glass or plastic container.",,
Naked Mighty Mango Juice Smoothie,,$4.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d3389f62-469f-406b-baba-9bfd7985ce44.png 4x,Gluten Free,,"Naked Juice Mighty Mango is an incredibly yummy fruit smoothie drink that ticks all the boxes. Give yourself the royal treatment with this amazingly exotic drink.,Made with real fruit and no added sugar,* the Mighty Mango fruit smoothie is a delicious way to help fuel your daily adventures. It's masterfully crafted from the perfect blend of mangoes, apples, orange, banana, and a hint of lemon. Whether it’s for starting your day, recharging after a busy afternoon or for your family on the way to school, it's a great taste that's a perfect choice in every situation. The handy 15.2 oz bottle is also easy to take and enjoy on the go.,Apart from Mighty Mango, there’s a whole range of other delicious smoothies that will help you nourish and rebalance. If you’re looking for protein, immune support or juice blends, Naked Juice provides a bottle of goodness that’s got you covered.,Naked remains true to its original purpose - to help people get more out of life. It's doing what it does best: crafting an expertly blended juice beverage into the tastiest drink you can imagine.,*Not a low calorie food. See nutrition information for calorie and sugar content.,• An exotic smoothie made from mangoes, oranges, apples and banana,• Masterfully crafted, lip-smacking fruit smoothie with no sugar added*,• Plant-based, vegan, no preservatives and non-GMO Project verified,• Fruit smoothie with Vitamin C and potassium, packed with Vitamin A,• Great tasting nutrition to start your day or refuel between meals","Mango Puree, Apple Juice From Concentrate (water, Apple Juice Concentrate), Orange Juice, Banana Puree, Lemon Juice, Natural Flavor, Beta Carotene (vitamin A).","Shake well! Separation is natural.,Perishable. Keep refrigerated.",,
V8 Berry Blend Flavored Juice Beverage,$3.79,$4.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_43b48185-9c17-489d-8b70-c676c8b943e2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_220b8cb9-28e1-4e10-8d27-91e11ce8403b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0b6be553-5989-472e-b65d-01a95152d314.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9bf54ed6-ee2d-44c3-8f4a-ad449b603c81.jpg 4x",Gluten Free,,"Quench your thirst with the refreshing taste of V8 Splash® Berry Blend Flavored Juice Beverage. This 5% juice blend is made from the concentrated juices of sweet potatoes and carrots with the natural flavors of strawberries, raspberries and blackberries for a tasty drink with a satisfying splash of delicious fruit flavor. V8 Splash® Berry Blend juice beverage contains 25% less sugar than leading juice drink brands*, plus Antioxidant C and B Vitamins. It’s also gluten free and fat free. With only 40 calories per serving, V8 Splash® is a lower calorie alternative to orange juice and apple juice. Serve a cold glass of this fruit flavored drink in the morning or as part of an after-school snack. V8 Splash® is also delicious in homemade smoothies and makes a great mocktail or cocktail mixer. In addition to Berry Blend, V8 Splash® Juice is also available in Strawberry Kiwi, Fruit Medley, and other refreshing fruit flavors. (*Per 8 fl oz: Leading shelf stable brands, 17g; Splash, 9g)","Water, Vegetable Juice (water And Concentrated Juices Of Sweet Potatoes, Carrots), High Fructose Corn Syrup, Natural Flavoring, Citric Acid, Malic Acid, Vitamin C (ascorbic Acid), Sucralose, Red 40 (for Color), Niacinamide (vitamin B3), Licorice Root Extract (for Flavor), Pyridoxine Hydrochloride (vitamin 86), Cyanocobalamin (vitamin B12)",Shake Well Before Opening.,Do not purchase unless cap and neckband are intact.,
Ocean Spray 100% Juice Cranberry Juice Blend,,$6.39, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c1166285-0af0-4509-a5a2-b6e92cdd762d.jpeg 4x,,,"Cult, meet classic with Ocean Spray® 100% Juice Cranberry Juice Blend. AKA the good-for-you renegade that tracks all the way back to the bog. Crisp. Clean. 100% Juice blend for a radically refreshing fruit juice. This cranberry juice blend has a lot to offer. A delicious blend of four 100% real fruit juices. 1 cup of fruit(1) and 100% recommended daily value of vitamin C per 8 fl oz serving. No sugar added(2). It’s a full punch of flavor without compromise. Use this cranberry juice blend as a cocktail mixer for your favorite cocktail or mocktail drinks. Use it to add a tart twist to beverage recipes. Or keep it simple on the rocks with a splash of tonic. Meet your new favorite addition to any recipe, without the added sugar(2). All this goodness is made possible by our 700 cranberry farmers pouring their heart and sweat into growing the mighty cranberry each day. Ocean Spray believes in the power of the mighty cranberry; Born Tart. Raised Bold.™,(1) Each 8 oz glass is equal to 1 cup of fruit. The USDA MyPlate recommends a daily intake of 2 cups of fruit for a 2,000 calorie diet.,(2) Not a low calorie food - see Nutrition Facts for sugar and calorie content.,• One (1) 64 fl oz bottle of Ocean Spray® 100% Juice Cranberry Juice Blend,• Only good stuff with 100% recommended daily value of vitamin C per 8 fl oz serving and no added sugar(1),• Contains a 100% juice blend made with four fruit juices from concentrate with the crisp, refreshing taste of cranberries,• Try cranberry juice blend as a cocktail mixer for a delicious beverage or add a splash of tonic to create a refreshing mocktail drink,• Ocean Spray believes in the power of the mighty cranberry; Born Tart. Raised Bold.™","Cranberry Juice (water, Cranberry Juice Concentrate), Apple Juice (water, Apple Juice Concentrate), Grape Juice (water, Grape Juice Concentrate), Pear Juice (water, Pear Juice Concentrate), Natural Flavor, Ascorbic Acid (vitamin C), Vegetable Concentrate For Color","Must refrigerate after opening.,For best quality and freshness use within two weeks after opening.",Safety cap: only purchase this product if the cap and neckband are intact.,
