Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Soy Free,"Quench your thirst and keep your little ones hydrated with Pure life Purified Water, No Added Fluoride. With no artificial colors or flavors and zero calories, each drop is trustworthy from collection to testing, ensuring your baby is getting the quality they deserve. This baby water is enhanced with minerals for a crisp taste and can be handy for many uses. Mix it with infant formula, cereal or to dilute juice. And because it contains no added fluoride or unwanted ingredients, you can trust every sip. Contains (1) 1-gallon jug of Pure life Purified Water. Order now on Instacart for same-day delivery or pickup!",Treenut Free
"Core Hydration Hydration+ Vibrance, Pink Grapefruit Extract Nutrient Enhanced",,$2.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8f9f022d-0412-4c5b-b1e1-3c9908ec29a2.jpg 4x,"Prepare to shine with Core Hydration+ Vibrance. Infused with vitamin C, biotin, and zinc to help support the health of your skin, hair, and nails, plus a touch of grapefruit extract to tantalize your taste buds, Core Hydration+ Vibrance adds the perfect amount of life and beauty to every day, body, and workout. It’s wellness wherever you go — and with zero sugar, sweeteners, or calories, there’s literally nothing to lose. Uniquely designed for an active lifestyle, Core Hydration+ helps you stay feeling your best. A balanced life means doing what works for you, and Core Hydration+ knows that achieving true balance means focusing outside as well as in. Every Core bottle is 100% recyclable* and BPA free, and we are constantly looking for ways to be sustainable while offering choices that can have a positive impact. Core bottles are also designed with your lifestyle in mind. The contoured silhouette makes it easy to hold when on the go, the wide mouth opening makes hydrating quicker, and the cup cap makes for easy sharing so you can spread the wellness with family, friends, and even your fur baby. A hydrated body performs better. Shape your own path to wellness. Find your Core.*Excludes label and cap","Purified Water, Ascorbic Acid (vitamin C), Pink Grapefruit Extract, Zinc Sulfate, Biotin",{},,,,,,
"Bai Zambia Bing Cherry, Antioxidant Infused Beverage",,$3.39,,"All we did was set out to make a delicious cherry flavor. We had no idea that Bai Zambia Bing Cherry would become the most amazing cherry flavor ever captured. Sincerest apologies to all other cherry flavors out there. At Bai, our water beverages deliver beyond basic hydration. Every exotic flavor is infused with antioxidants and other benefits. Not only is Bai Zambia Bing Cherry deliciously bold and refreshing, but it has electrolytes, 1 gram of sugar, and contains no artificial sweeteners. We’ve added zinc which—in combination with Vitamin C—helps support a healthy immune system. Every hydrating sip hits a flavorful high note thanks to being sweetened with Stevia. And we’ve bottled it up in packaging made from 100% recycled plastic, excluding cap and label. Bai’s approach to innovation guides us in our quest to find new ways to translate modern wellness trends into tasty drinks everyone can enjoy. It’s a future too marvelous to exist only in our imaginations. We want everyone to experience it. Bai Zambia Bing Cherry. It’s WonderWater.","Filtered Water, Malic Acid, Citric Acid, Cherry And Blackberry Juice Concentrates, Potassium Citrate, Sea Salt, Vegetable And Fruit Juice Concentrates (for Color), Ascorbic Acid (vitamin C), Tea Extract, Stevia Leaf Extract, Natural Flavors, Coffee Fruit Extract, Monk Fruit Extract (natural Flavor), Zinc Sulfate","Shake well, refrigerate after opening.",,,,,,
"Splash Flavored Water Beverage, Acai Grape",$2.89,$4.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_89e939ee-339d-4d56-a87e-0a2fef1e314a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_27208881-a8f0-4e10-b404-edf5d74b157c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4b40e430-3b5f-4b61-9aa8-af78c8a3aec0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f75ebb0c-52c9-4d85-8d36-d2ae55eea641.jpg 4x","Water doesn’t have to be boring. Do yourself a flavor, hydrate with delicious, Acai Grape flavored Splash Refresher. It’s like water - but,actually good. Quench your thirst and tease your taste buds any time. Splash Refresher has zero sugars for a guilt-free option, making it the,refreshiest alternative to other sugary or high-calorie drinks.,• Water doesn’t have to be boring. Do yourself a flavor and hydrate with zero sugar and delicious, fruit-flavored Acai Splash Refresher,• Splash Refresher has zero sugar for a guilt-free option, making it a craveable refreshiest alternative to other sugary or high-calorie drinks.,• Quench your thirst and tease your taste buds any time of day,• Try all of our amazing favors: Acai Grape, Lemon, Orange, Wild Berry, Pineapple Mango,• 16.9 fl oz/5ooml Splash Refresher flavored water bottles are perfectly sized, in recyclable plastic bottles for on-the-go hydration.,• It’s like water - but actually good","Purified Water, Less Than 0.5% Of Natural Flavors, Citric Acid (to Preserve Freshness), Sodium Polyphosphate, Magnesium Sulfate, Potassium Sorbate (to Preserve Freshness), Potassium Benzoate (to Preserve Freshness), Sucralose, Acesulfame Potassium, Calcium Disodium Edta, Zinc Sulfate","Store In A Cool, Dry Place","Warning: Cap is a small part and poses a choking hazard, particularly for children.",,,,,
"Sparkling Ice® Strawberry Lemonade Sparkling Water, Zero Sugar",,$1.89,,"Ask for your smart speaker to launch sparkling ice maker. Please recycle. Empty and replace cap.,• Sugar Free/No Sugar,• Low Calorie,• Caffeine Free/No Caffeine","Carbonated Water, Contains 2% Or Less Of: Natural Flavors, Lemon Juice Concentrate, Fruit And Vegetable Juice (for Color), Citric Acid, Green Tea Extract, Potassium Benzoate (to Ensure Freshness), Sucralose, Beta Carotene (for Color), Gum Arabic, Calcium Disodium Edta (to Protect Flavor), Ester Gum, Niacinamide (vitamin B3), Retinol (vitamin A), Calcium Pantothenate (vitamin B5), Cholecalciferol (vitamin D3), Biotin, Cyanocobalamin (vitamin B12), Pyridoxine Hydrochloride (vitamin B6).","As in life, chill for best results.,Refrigerate after opening.",,,,,,
hint Cherry Water,$1.67,$1.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ebc40217-1096-487f-9acd-a908b945bdc8.png 4x,"0 sweeteners. Water that makes water love you. 100% recyclable bottle & cap.,• No Artificial Sweeteners,• Calorie Free/No Calories,• Vegan,• Kosher,• Sugar Free/No Sugar,• Nut Free,• Soy Free","Purified Water, Natural Flavors",{},,Gluten Free,,,,
"Bai Cocofusions Puna Coconut Pineapple, Antioxidant Infused Beverage",$1.79,$3.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eb3d3b21-8d03-4578-9117-eacf3cdf3e0c.jpeg 4x,"Sure, you could put a seashell to your ear. But why do that when you could grab a bottle of Bai Puna Coconut Pineapple and put it your lips? It’s so tropically delicious. And much easier to find than a seashell. At Bai, our water beverages deliver beyond basic hydration. Every exotic flavor is infused with antioxidants and other benefits. Not only is Bai Puna Coconut Pineapple deliciously bold and refreshing, but it has electrolytes, 1 gram of sugar, and contains no artificial sweeteners. We’ve added zinc which—in combination with Vitamin E—helps support a healthy immune system. Every hydrating sip hits a flavorful high note thanks to being sweetened with Stevia. And we’ve bottled it up in packaging made from 100% recycled plastic, excluding cap and label. Bai’s approach to innovation guides us in our quest to find new ways to translate modern wellness trends into tasty drinks everyone can enjoy. It’s a future too marvelous to exist only in our imaginations. We want everyone to experience it. Bai Puna Coconut Pineapple. It’s WonderWater.","Filtered Water, Coconut Water Concentrate, Citric Acid, Potassium Citrate, Acacia Gum, Natural Flavors, Stevia Leaf Extract, Sea Salt, Tea Extract, Green Coffee Bean Extract, Malic Acid, Coffee Fruit Extract, Monk Fruit Extract (natural Flavor), Dl-alpha Tocopheryl Acetate (vitamin E), Zinc Sulfate","Shake well.,Refrigerate after opening.",Contains: coconut.,,,,,
"bubly Sparkling Water, Coconut Pineapple",,"$6.99Buy 2, get 2 free"," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dd235950-c521-4805-910b-080daf41c4a8.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0545e356-57af-4a78-820b-8fc3fa032a1c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_94faeff7-de3a-4826-bd62-eb0b3c5b9f89.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ba2af25c-758e-4521-89d0-e4199db232ba.png 4x","All smiles. Paradise is only one sip away. Please recycle.,• Calorie Free/No Calories,• No Artificial Sweeteners","Carbonated Water, Natural Flavor.",Best taste drink by date.,,,,,,
bubly Sparkling Water Blueberry Pomegranate 12 Fl Oz 8 Count,,$6.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ab50a18f-c449-4a17-8ac3-1aa712a29b63.png 4x,"Oh hi! bubly sparkling water combines refreshing, crisp sparkling water with great tasting, natural flavors perfect for any occasion. No calories, no sweeteners, all smiles.,• 0 calories,• 0 sweeteners,• Blueberry Pomegranate Flavor","Carbonated Water, Natural Flavor.","Best taste, drink by date.",,,,,,
Ice Mountain 100% Natural Spring Water,,$5.39," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_46a4fc5f-4d3a-4751-9235-de09b9ad806e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6eca9a14-1e24-4e6f-bf6d-32d52762dd65.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1969ec92-8512-48c8-aba6-7dccd51980cb.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_90269ff9-0340-4b05-bcfc-4a79d56e44c5.jpg 4x","ICE MOUNTAIN Brand 100% Natural Spring Water has been a local favorite in the Midwest for generations. Sourced from carefully selected springs, ICE MOUNTAIN Spring Water contains naturally occurring minerals for a crisp, refreshing taste. So when you’re looking for a trusted source of hydration for any occasion, choose ICE MOUNTAIN.",100% natural spring water,"Store In A Cool, Dry Place","Warning: Cap is a small part and poses a choking hazard, particularly for children.",,,,,
"Sparkling Ice® Plus Caffeine Citrus Twist Sparkling Water, Zero Sugar",$1.67,$2.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_73e99280-1888-454b-b701-8e8d7b9b4b3a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3d8ab07c-77e9-4b4b-9553-1d844c9cd347.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_bcc77003-cf01-412d-92df-bc8a0894c4fe.png 4x","100% recyclable.,• Kosher,• Low Calorie,• Sugar Free/No Sugar,• Contains Vitamins","Carbonated Water, Natural Flavors, Citric Acid, Potassium Benzoate (to Ensure Freshness), Sucralose, Caffeine, Beta Carotene (for Color), Green Tea Extract, Calcium Disodium Edta (to Protect Flavor), Biotin, Niacinamide (vitamin B3), Vitamin A, Calcium Pantothenate (vitamin B5), Vitamin B12, Vitamin D3, Pyridoxine Hydrochloride (vitamin B6)","As in life, chill for best results.","Not recommended for children, pregnant or breastfeeding women, or individuals sensitive to caffeine.",,,,,
"Sparkling Ice® Lemonade Variety Sparkling Water 12 Pack, Zero Sugar",,$12.93," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fa6d17b3-444d-4ac1-8faa-c5388c832f0d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_67e4d5c1-f7e9-4b50-9a6a-f2354930629f.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_34965cbd-146e-47c0-83e6-bd9a871c542e.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3eb4b6e5-46c3-4d6c-b082-1e38f001871f.png 4x","Colors from natural sources. Enjoy. Recycle. Repeat. Bottle: Empty and recycle cap. Wrap: Recycle with plastic bags. Tray: Recycle with paper products. Please recycle.,• No Sugar,• Caffeine Free,• Low Calorie,• Kosher","Berry Lemonade: Carbonated Water, Contains 2% Or Less Of: Natural Flavors, Lemon Juice Concentrate, Fruit And Vegetable Juice (for Color), Sucralose, Green Tea Extract, Citric Acid, Retinol (vitamin A), Niacinamide (vitamin B3), Calcium Pantothenate (vitamin B5), Cholecalciferol (vitamin D3), Biotin, Cyanocobalamin (vitamin B12), Pyridoxine Hydrochloride (vitamin B6), Ester Gum, Gum Arabic, Calcium Disodium Edta (to Protect Flavor), Potassium Benzoate (to Ensure Freshness), Classic Lemonade: Carbonated Water, Contains 2% Or Less Of: Natural Flavors, Lemon Juice Concentrate, Citric Acid, Green Tea Extract, Potassium Benzoate (to Ensure Freshness), Ester Gum, Gum Arabic, Sucralose, Beta Carotene (for Color), Calcium Disodium Edta (to Protect Flavor), Niacinamide, (vitamin B3), Retinol (vitamin A), Calcium Pantothenate (vitamin B5), Cholecalciferol (vitamin D3), Biotin, Cyanocobalamin (vitamin B12), Pyridoxine Hydrochloride (vitamin B6, Strawberry Lemonade: Carbonated Water, Contains 2% Or Less Of: Natural Flavors, Lemon Juice Concentrate, Fruit And Vegetable Juice (for Color), Green Tea Extract, Citric Acid, Potassium Benzoate (to Ensure Freshness), Sucralose, Beta Carotene (for Color), Gum Arabic, Calcium Disodium Edta (to Protect Flavor), Ester Gum, Niacinamide, (vitamin B3), Retinol (vitamin A), Calcium Pantothenate (vitamin B5), Cholecalciferol (vitamin D3), Biotin, Cyanocobalamin (vitamin B12), Pyridoxine Hydrochloride (vitamin B6)","Refrigerate after opening. As in life, chill for best results.",,,,,,
Eternal Water Artesian Water,,$2.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8335da54-298f-45ac-bf96-f27767d3426f.png 4x,"Nature's perfect water: Eternal water is sourced from naturally alkaline springs.,Our water filters through layers of ancient rock absorbing essential minerals making it naturally alkaline. These layers of rock also provide protection from pollution, providing a pure & pristine source of water. It arrived in this bottle as nature intended - eternally perfect.,Natural pH 7.8 - 8.2 (approximate pH at time of bottling. Actual pH can vary due to natural fluctuation).","No additives, pure, unadulterated spring water.","Store in a cool, clean, dry place away from sunlight.",,,,,,
"Aquafina Drinking Water, Purified",$6.39,$6.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_56c131f1-e2c6-4fa5-8659-e6a958f8ae05.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b4fb918c-10f0-48ea-b0a6-3c4ff854bbab.png 4x","Fresh and pure, Aquafina is the perfect companion for happy bodies everywhere.,• Purified through a rigorous, seven-step process called HydRO-7.,• Aquafina originates from public water sources and then purified.,• Pure water, perfect tase.",Purified Drinking Water.,{},,,,,,
LaCroix Black Razzberry Sparkling Water 8 Pack,,$5.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e2a39c49-049b-4783-b48f-ff0ccee112c4.png 4x,lacroixwater.com. Please recycle.,"Only Carbonated Water, Naturally Essenced*",{},,,,,,
"Smart Water, Alkaline",,$2.89, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_66dfc19b-3331-4c72-98a4-85d32d9dfd42.jpg 4x,,"Vapor Distilled Water, Calcium Chloride And Magnesium Chloride And Potassium Bicarbonate (electrolyte Sources*), Sodium Selenate, *electrolytes Added For Taste",{},,,,,,
"Sparkling Ice® +Caffeine Sparkling Ice® Plus Caffeine Orange Passion Fruit Sparkling Water, Zero Sugar",$1.67,$2.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c34b2741-1a8f-46df-9b2a-e477310a7ffc.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3c985ae7-26a6-4921-a889-cf5e05d41c55.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2f80747c-9c6c-4837-9a26-1afdff82b5e6.png 4x","+ hydrate. + refresh. +refuel. Colors from natural sources. Antioxidants + vitamins. 100% recyclable.,• Contains Antioxidants,• Contains Vitamins,• Free From Sugar,• Contains Caffeine","Carbonated Water, Natural Flavors, Malic Acid, Potassium Benzoate (to Ensure Freshness), Ester Gum, Sucralose, Caffeine, Beta Carotene (for Color), Green Tea Extract, Calcium Disodium Edta (to Protect Flavor), Biotin, Niacinamide (vitamin B3), Vitamin A, Calcium Pantothenate (vitamin B5), Vitamin B12, Vitamin D3, Pyridoxine Hydrochloride (vitamin B6)","Refrigerate after opening. As in life, chill for best results.",,,,,,
ZenWTR 9.5 PH Vapor Distilled Water,,$2.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0e3e271c-e792-458e-b425-08d913b4ce06.png 4x,"ZenWTR Alkaline Water is the world's first and only beverage in a bottle made from 100% recycled, certified, ocean-bound plastic, which is plastic that was rescued from at-risk coastal environments.,ZenWTR is the only beverage to be Certified Plastic Negative and they're on track to achieve their mission of rescuing 50 million pounds of ocean-bound plastic by 2025.,Additionally, ZenWTR dedicates 1% of all sales to organizations committed to ocean conservation and recycling education and advocacy.,Be sure to pick up a ZenWTR at your local store today and join us in making a difference!","Vapor Distilled Water, Calcium Chloride, Magnesium Chloride, Potassium Bicarbonate (electrolyte Sources For Taste)",{},,,,,,
Polar Seltzer Blood Orange Lemonade,$5.79,$6.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d15068f5-af96-458d-a9a5-f58ced831ba1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7fa51578-bceb-437e-87b6-23557e44d3f4.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c5679532-f90a-4a87-9b38-96ab72091e40.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0499a5e4-1a53-4bd9-970f-500cbf8c31bc.png 4x","Sparkling with essence of fresh lemons.,No sugar.,Naturally calorie-free. Contains no juice, sodium or caffeine.,Guilt free. No sweeteners.,With natural fruit flavors.","Contains Sparkling Water, Natural Flavors, Essence Of Fresh Lemons",{},"Contains sparkling water, natural flavors, essence of fresh lemons.",,,,,
"LaCroix Sparkling Water, Lemon",$4.59,$5.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8d2852f9-93cb-45fe-8363-b175e579e4ca.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6439b273-cd7f-46fd-951a-561b889f7233.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c8229343-65f1-4b71-a06b-c7a8b87ca580.png 4x","LaCroix Sparkling Water is the #1 sparkling water brand. LaCroix is a refreshing and healthy beverage that can be enjoyed in any setting. Each sip of LaCroix Sparking Water is flavored with the natural essence oils extracted from the named fruit. It contains 0-calories, 0-sweetenersand 0-sodium. This means you can enjoy the refreshing taste of a carbonated beverage completely guilt-free. LaCroix sparkling water is vegan, gluten-free, non-GMO and Whole30 approved. Our water is sourced in the U.S.A. and has a lower carbon footprint compared to imported brands. The average person needs to drink eight 8-oz glasses of water a day, and with LaCroix Sparkling Water, each of those eight glasses can have a special, fruity essence that you will love! Enjoy LaCroix!","Only Carbonated Water, Naturally Essenced*.",{},,,,,,
"LaCroix Sparkling Water, Pamplemousse (Grapefruit)",,$7.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f47276a3-f93e-401e-89b9-fffe18d9bf5a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7e6e7d18-8de7-42b7-8a8a-02013d3cd7ec.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e27422a7-232c-4d60-9153-879c432435c1.png 4x","LaCroix, Naturally Essenced Sparkling Water developed for the health-conscious consumers; sparkling water with an innocent twist of zero calories, zero sweeteners and zero sodium. Discover your LaCroix flavor with a variety ranging from Pure bubbles to exotic Coffea provoking the senses with robust aromas and hints of flavor.,lacroixwater.com,Please recycle.,Product of USA.,zero calories • zero sweeteners • zero sodium • gluten free • vegetarian • Kosher • non-GMO,Naturally essenced sparkling water • Whole30 approved,• HEALTHIER: LaCroix is developed to give health-conscious consumers refreshment, flavor, and sparkle with an innocent twist of zero calories, zero sweeteners and zero sodium. Each flavor comes from the natural essence oils.,• REFRESHING: LaCroix is a wholesome, refreshing sparkling water that you can feel good about sharing with your friends and family. Enjoy the delicious flavor at the gym, in the office or on the go!,• GUILT FREE: Drink with zero worries! Hydrate and sparkle with an innocent twist of zero calories, zero sweeteners and zero sodium. Our sparkling water is vegetarian, non-GMO, Kosher and Whole30 approved. Our drinks offer the perfect splash of refreshment for work and play.,• FUN: LaCroix is the perfect drink for every occasion. LaCroix Mocktail recipes provide a splash of funfor any occasion, they are delicious, refreshing and provide zero hangover. Let LaCroix bring fun to your healthy lifestyle!","Only Carbonated Water, Naturally Essenced*, *non-gmo",{},,,,,,
Pure life Purified Water,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cc4ea43b-c400-4a6d-9f14-714af27cfba0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7a116a7e-6137-4c2f-a65a-e26be1df879d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_371d6cad-52ed-4005-b3b7-96e55314db04.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_238831f7-3fbd-4588-82b6-12bab19b0595.jpg 4x","Whoever you call family, we’re here for you, with Pure Life Pure Quality Purified Water. Whether you’re looking for refreshing hydration options for your kids, team, or best friends, our pure quality bottled water is perfectly sized to fit your family. The 8 fl oz. mini water bottles are great for little ones, providing big refreshment in a small water bottle, and are also ideal for slipping in a backpack or popping in a packed lunch. Enhanced with minerals, they provide the crisp, refreshing taste you know and love, always with zero calories and zero sugar. From collection to testing, you can trust every drop to give you and your family the pure, healthy hydration and refreshment you need to feel and be your best. So grab a case of water and make Pure Life part of your family's routine. It's an easy way towards a healthier lifestyle.,• EVERYDAY HYDRATION: Our 8 Fl Oz Pure Life mini water bottles are perfect for little ones and make hydration fun,• REFRESHING TASTE: Enhanced with minerals for a crisp taste that makes drinking water delicious,• HEALTHY ALTERNATIVE: Purified water with no artificial colors or flavors and zero calories or sweeteners,• A TASTE YOU CAN TRUST: From collection to testing, every drop of our purified water goes through a rigorous quality process to ensure a crisp and refreshing taste every time,• FAMILY FAVORITE FOR OVER 30 YEARS: Whoever you call family, you can depend on our pure quality water to give you the healthy hydration you need,• DESIGNED TO BE RECYCLED: Pure Life plastic water bottles are 100% recyclable, which means you can help the next generation of families too","Purified Water, Less Than 0.5% Of Calcium Chloride, Sodium Bicarbonate, Magnesium Sulfate.","Store In A Cool, Dry Place","Warning: Cap is a small part and poses a choking hazard, particularly for children.",,,,,
Pure life Purified Water,,$8.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a9733af0-f6ef-4812-9065-d2dd010886de.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d170b4c0-eec2-4c07-9b3d-7e0637b5377b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_df8659db-e49a-4df4-af3b-b37a6037c970.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d75eb434-5f05-499a-81b2-1f17a82959c4.jpg 4x","Whoever you call family, we’re here for you, with Pure Life Pure Quality Purified Water. Whether you’re looking for refreshing hydration options for your kids, team, or best friends, our pure quality bottled water is perfectly sized to fit your family. The 16.9 fl oz. / 500mL Pure Life water bottles are ideal for on-the-go hydration, for travel, office, or in the car. Enhanced with minerals, they provide the crisp, refreshing taste you know and love, always with zero calories and zero sugar. From collection to testing, you can trust every drop to give you and your family the pure, healthy hydration and refreshment you need to feel and be your best. So grab a case of water and make Pure Life part of your family's routine. It's an easy way towards a healthier lifestyle.,• EVERYDAY HYDRATION: Our 16.9 Fl Oz / 500mL Pure Life water bottles are perfect to take for lunch or bring to work, for easy on-the-go hydration whenever you need it,• REFRESHING TASTE: Enhanced with minerals for a crisp taste that makes drinking water delicious,• HEALTHY ALTERNATIVE: Purified water with no artificial colors or flavors and zero calories or sweeteners,• A TASTE YOU CAN TRUST: From collection to testing, every drop of our purified water goes through a rigorous quality process to ensure a crisp and refreshing taste every time,• FAMILY FAVORITE FOR OVER 30 YEARS: Whoever you call family, you can depend on our pure quality water to give you the healthy hydration you need,• DESIGNED TO BE RECYCLED: Pure Life plastic water bottles are 100% recyclable, which means you can help the next generation of families too","Purified Water, Less Than 0.5% Of Calcium Chloride, Sodium Bicarbonate, Magnesium Sulfate","Store In A Cool, Dry Place","Warning: Cap is a small part and poses a choking hazard, particularly for children.",,,,,
"hint Flavored Bottled Water, 4-Flavor Blue Variety Pack",$19.59,$24.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3470ebcc-03a2-4f37-99b6-9a656dc59a0f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eee4dcb1-cc81-4f48-8861-a35d6f130285.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_62a5eeb5-7b71-4def-8508-145bb39d6464.png 4x","Water infused with fruit essences & other natural flavors. Hint is vegan and free of sugar, sweeteners, MSG, muts, soy, gluten and preservatives. Non GMO Certified by NSF. drinkhint.com. hello(at)drinkhint.com. Learn more about our BPA-free bottles at drinkhint.com. 100% recyclable bottle & cap. Made in the USA",Purified Water And Natural Flavors.,{},,"Gluten Free,Soy Free,Treenut Free",,,,
"PURE LIFE Purified Water, 8 Fl Oz, Plastic Bottled Water (24 Pack)",$5.19,$6.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f38c828f-6c44-4db7-86e7-6f3e9c39dd67.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_98e4f2f8-be01-40cb-9a5f-56c9b08ad0df.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ca1aa2c3-8de2-4a4e-9415-d99c78f0c438.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9ee00b59-876b-4e04-92b4-7849cc611bc2.jpg 4x","Whoever you call family, we’re here for you, with Pure Life Pure Quality Purified Water. Whether you’re looking for refreshing hydration options for your kids, team, or best friends, our pure quality bottled water is perfectly sized to fit your family. The 8 fl oz. mini water bottles are great for little ones, providing big refreshment in a small water bottle, and are also ideal for slipping in a backpack or popping in a packed lunch. Enhanced with minerals, they provide the crisp, refreshing taste you know and love, always with zero calories and zero sugar. From collection to testing, you can trust every drop to give you and your family the pure, healthy hydration and refreshment you need to feel and be your best. So grab a case of water and make Pure Life part of your family's routine. It's an easy way towards a healthier lifestyle.,• EVERYDAY HYDRATION: Our 8 Fl Oz Pure Life mini water bottles are perfect for little ones and make hydration fun,• REFRESHING TASTE: Enhanced with minerals for a crisp taste that makes drinking water delicious,• HEALTHY ALTERNATIVE: Purified water with no artificial colors or flavors and zero calories or sweeteners,• A TASTE YOU CAN TRUST: From collection to testing, every drop of our purified water goes through a rigorous quality process to ensure a crisp and refreshing taste every time,• FAMILY FAVORITE FOR OVER 30 YEARS: Whoever you call family, you can depend on our pure quality water to give you the healthy hydration you need,• DESIGNED TO BE RECYCLED: Pure Life plastic water bottles are 100% recyclable, which means you can help the next generation of families too","Purified Water, Less Than 0.5% Of Calcium Chloride, Sodium Bicarbonate, Magnesium Sulfate.","Store In A Cool, Dry Place","Warning: Cap is a small part and poses a choking hazard, particularly for children.",,,,,
