Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Gluten Free,Peanut Free
Bud Light American Lager Beer 25 fl oz Can,$3.99,$5.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_14545b6e-21d3-4cef-9958-338df844bc3f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eb1f4967-e2ef-40dd-805b-e2dbaaf15a5b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_12c69312-ee04-4392-a9cd-3cf453e9db22.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8bba4527-f507-453b-8264-850d58198013.jpg 4x","Bud Light is a premium beer with incredible drinkability that has made it a top selling American beer that everybody knows and loves. This light beer is brewed using a combination of barley malts, rice and a blend of premium aroma hop varieties. Featuring a fresh, clean taste with subtle hop aromas, this light lager delivers ultimate refreshment with its delicate malt sweetness and crisp finish. Bud Light is made with no preservatives or artificial flavors. Grab this can of beer when you're in need of cold beer for a tailgate or simply want to keep some in your fridge so you're ready when Bud Light calls your name.","Hops, Barley Malt and Rice.",See bottom of can for freshest before date.,"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Michelob Ultra Beer 6 Pack Bottles,,$10.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_73d36345-f15e-4eff-8808-a9ed8b6f12f8.png 4x,"Michelob Ultra Light Beer offers a superior taste for those with an active lifestyle, without compromising on flavor. Containing only 95 calories and 2.6 carbs, Michelob Ultra is a light lager brewed with the perfect balance of hops and grains, producing a light citrus aroma and a crisp, refreshing finish. Our light beer contains only 95 calories, 2.6 carbs, and 4.2% alc./vol. per 12 oz serving. Available in cans and bottles.,When life calls for something special, sip on Michelob Ultra Superior Light Beer – the perfect choice for those who go the extra mile to live an active balance lifestyle without sacrificing taste. Brewed for those who understand that it's only worth it if you enjoy it.",Light Beer.,{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"Budweiser American Lager Beer 12 Pack, 12 fl oz Cans",$18.59,$21.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_de73d69d-6afb-4eca-ac7a-e821de31fc2f.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d7db1454-c0d6-46b5-9e1f-78bb77c5c6b7.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_439cbc13-a346-421d-a4e8-5fe2c44d1937.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5fbdec15-0b07-4905-abb8-a87fb6a201f3.jpg 4x","Budweiser beer is a medium-bodied, American-style lager beer. Brewed with high quality barley malt, a blend of premium hop varieties, fresh rice and filtered water, this American beer is crisp and full of flavor. Budweiser beer has 5% ABV and contains 145 calories and zero grams of fat per serving. Every occasion calls for a Budweiser; enjoy a cold beer while watching the game or grab a pack when your barbecues or social gatherings need refreshing drinks. This lager beer is the perfect companion to pizza, burgers and fried chicken, but don't let the pairings stop there. The cans and package make this beer easy to transport wherever Budweiser is needed.",,See above for freshest before date.,"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Modelo Especial Can,$3.50,$3.79, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ec6caae8-5cd2-4c27-8031-dac9fac59ebd.png 4x,"Full-Time Fans, this is our beer. Modelo Especial Mexican Beer is a rich, full-flavored pilsner beer that’s cheer-ready and perfect for game day. This lager beer's golden hue is complemented by its smooth notes of orange blossom honey and hint of herb. A light-hop character, tantalizing sweetness, and a crisp, clean finish make this smooth-drinking beer perfect for sharing with friends as your team takes the field. This imported beer is also the ultimate way to tailgate like a Full-Time Fan. Pair this 143-calorie* import beer in a 24 oz can with game day apps such as wings, nachos, and sliders for a perfect match-up. Made with barley malt and unmalted cereals and hops for a balanced flavor, this cerveza is brewed with the fighting spirit. *Per 12 fl. oz. serving of average analysis: Calories 143, Carbs 13.6 grams, Protein 1.1 grams, Fat 0 grams. Drink responsibly. Modelo Especial® Beer. Imported by Crown Imports, Chicago, IL,• Single 24 fl oz can of Modelo Especial Mexican Import Beer,• Mexican pilsner beer with smooth, full-flavored notes that’s perfect for cheering on your team,• Modelo cerveza that pairs well with game day apps such as wings, nachos, and sliders,• Cheer-ready balanced lager with a golden hue and a crisp, clean finish,• Import beer made in Mexico, made for game day","Water, Barley Malt, Non-malted Cereals, Hops",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"Michelob ULTRA Superior Light American Lager Beer 12 Pack, 12 fl oz Bottles",,$17.59," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3a3602d6-f8dc-4b91-8ceb-e178a1ac7c1e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_610da6b7-12af-4e65-8052-08cbf88fc3d5.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b85efd51-337d-484a-914e-e597fcb99e88.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9eaa7cc1-0b00-44f2-a48f-d55ada093ef6.jpg 4x","Michelob ULTRA is a superior light beer that is made for those living active and balanced lifestyles. This light lager is brewed with Herkules hops and wholesome grains, creating exceptional taste and a crisp, refreshing finish. Not only is this American beer made with no artificial colors or flavors, but it has just 95 calories and 2.6 grams of carbs per serving; by drinking Michelob ULTRA, you can enjoy a cold beer without compromising your active lifestyle. Enjoy this bottled beer during dinner, social gatherings or get-togethers that call for refreshing drinks. The handle on this twelve pack of Michelob Ultra bottles makes it easy to transport with you anywhere.,12 pack of 12 fl oz bottles of Michelob ULTRA Light Beer,Michelob light beer perfect for those living active and balanced lifestyles,Crisp light lager beer with a refreshing finish,Made with barley, hops, yeast and water and without artificial flavors or colors in every case of beer,Michelob light beer contains 95 calories and 2.6 g of carbs per serving, and has a 4.2% ABV","Per 12 Fl. Oz.- Average Analysis: Calories, 95. Carbohydrates, 2.6g. Protein, 0.6g. Fat, O.og.",See above for freshness before date.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"Twisted Tea Original, Hard Iced Tea",$26.49,$31.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4d54c534-dae3-474e-89a3-b5ba23cf20d3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4b2c4e2c-125f-4240-b5e1-b88895ea58d3.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a40bab7d-0fe8-4c57-a09b-c2dd2610a06b.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f2daab6b-38b2-4c29-830c-7776864ca38d.jpg 4x","Twisted Tea Original is refreshingly smooth hard iced tea made with real brewed black tea and a twist of natural lemon flavor. Non-carbonated, naturally sweetened, and 5% ABV – it’s your favorite iced tea with a classic twist! Keep it Twisted.",,{},"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Miller Lite American Light Lager Beer,$18.59,$19.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9919af86-3da1-40ca-8e43-57178fb0ea85.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_37dcf842-c384-4474-be98-e19d5ba04e7d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1de8aef6-9a61-4245-b93e-cd4c06dbcf7a.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_35f31b3f-3e7c-4666-b1e6-3eb42504f8a0.jpg 4x","Miller Lite Beer is the original light lager beer. With a smooth, light and refreshing taste, this American-style pilsner beer has 4.2% ABV. Brewed for more taste, this light beer has a light to medium body with a hop-forward flavor, solid malt character, and a clean finish. This case of beer cans makes bringing along tasty drinks easy. Miller Lite is brewed with pure water for great taste; barley malt for flavor and golden color; and Galena and Saaz hops for aroma, flavor, and bitterness. These elements all lend to a consistently great malt beer experience. This light American beer has 96 calories and 3.2 grams of carbs per 12-ounce serving. It is a perfect low-calorie beer to accompany tailgating, barbeques, hanging out with friends and any occasion that would be better with Miller Lite. Miller beer goes well with countless food items such as burgers, grilled shrimp skewers, and whitefish. It’s Miller Time.,•You'll get twelve 12-ounce beer cans of Miller Lite American Light Lager Beer,•Smooth, light, and refreshing American style lager beer with 4.2% ABV,•Light beer with a light to medium body, hop-forward flavor, and clean finish,•Low-calorie American beer with 96 calories and 3.2 grams of carbs per serving,•The perfect light beer for all things football; tailgating, bbq, watch parties and more,•Case of beers makes it easy to bring to parties and gatherings with family and friends,•Pairs well with burgers, grilled shrimp, lemon pepper wings and makes a great sports watching companion","Water, Barley Malt, Corn Syrup (Dextrose)*, Yeast, Hops And Hop Extract *Not Hfcs, Not Present In The Final Product",{},"Government warning: (1) according to the surgeon general, women should not drink alcohol beverages during pregnancy because of the risk of birth defects. (2) consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems. .",,,
White Claw Hard Seltzer Variety Flavor Collection #2 12 Pack Cans,,$22.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_ccb62469-8738-4402-ad04-d0579fd28038.png 4x,"Discover a wave of pure, crisp taste refreshment with White Claw® Hard Seltzer Variety Pack No.2. Crafted with quality ingredients, White Claw® Hard Seltzer is made from a blend of seltzer water, gluten-free alcohol, and a hint of fruit flavor. Variety Pack No.2 includes four refreshing flavors for everyone to enjoy with classic Lemon, refreshing Watermelon, fresh Peach, and White Claw’s, top-requested flavor: Passionfruit. Each 12oz can contains 100 calories, 5% alcohol, and 2g carbs, making them perfect to share in your best moments. They’re a great choice for backyard barbecues, sitting on the patio or porch, or entertaining family and friends at home. Please drink responsibly. 21+.,• White Claw® Hard Seltzer is made from a blend of seltzer water, gluten-free alcohol, and a hint of fruit flavor,• Variety Pack with twelve (12) 12oz cans of White Claw® Hard Seltzer,• Four (4) refreshing flavors: Passion fruit, classic Lemon, refreshing Watermelon, and Peach,• Each 12oz can contains 100 calories, 5% alcohol, 2g carbs,• 100 Calories,• 5% Alcohol,• 2g Carbs,• Gluten Free","Tangerine Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Natural Tangerine Juice Concentrate, Sodium Citrate. Mango Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Natural Mango Juice Concentrate, Sodium Citrate. Watermelon Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Natural Watermelon Juice Concentraté, Sodium Citrate. Lemon Ingredients: Purified Carbonated Water, Alcohol, Natural Flavors, Cane Sugar, Citric Acid, Natural Lemon Juice Concentrate, Sodium Citrate.",,Contains alcohol,Gluten Free,,
Michelob ULTRA Ultra Superior Light Beer,$26.49,$31.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_67f03db2-aa34-405b-842e-0153efba081c.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d8ac434c-c5d8-46ae-b178-148e5c8e3be0.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_927ebb54-c883-40e6-844b-c82ba2f67555.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f3ae915b-2621-4439-aa70-139fed168586.jpg 4x","Michelob ULTRA is a superior light beer that is made for those living active and balanced lifestyles. This light lager is brewed with Herkules hops and wholesome grains, creating exceptional taste and a crisp, refreshing finish. Not only is this American beer made with no artificial colors or flavors, but it has just 95 calories and 2.6 grams of carbs per serving; by drinking Michelob ULTRA, you can enjoy a cold beer without compromising your active lifestyle. Enjoy these slim, Michelob Ultra cans of beer during dinner, social gatherings or get-togethers that call for refreshing drinks. The handle on this 18 pack of beer cans makes it easy to transport with you anywhere.,18 pack of 12 fl oz cans of Michelob ULTRA Light Beer,Light beer perfect for those living active and balanced lifestyles,Michelob Ultra beer cans deliver a crisp light lager beer with a refreshing finish,Made with barley, hops, yeast and water and without artificial flavors or colors in every case of beer,Michelob light beer contains 95 calories and 2.6 g of carbs per serving, and has a 4.2% ABV",Superior Light Beer.,See above for freshest before date.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Budweiser American Lager Beer 25 fl oz Can,$3.99,$5.29," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e9762a81-c9f3-43d2-bb10-e2ced9e86e27.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_5f229a0d-c912-4f62-837b-bef64187778d.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1c88ca83-f467-47a4-9d00-6ecdb1ea9ddf.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_4859e0dd-f781-4d32-ae51-baac98ac2767.jpg 4x","Budweiser beer is a medium-bodied, American-style lager beer. Brewed with high quality barley malt, a blend of premium hop varieties, fresh rice and filtered water, this American beer is crisp and full of flavor. Budweiser beer has 5% ABV and contains 145 calories and zero grams of fat per 12 fluid ounce serving. Every occasion calls for a Budweiser; enjoy a cold beer while watching the game or when you're at barbecues or social gatherings. This lager beer is the perfect companion to pizza, burgers and fried chicken, but don't let the pairings stop there. Packed in a tall beer can that is perfect for outdoor gatherings and tailgates.",,See bottom of can for freshest before date.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Blue Moon Belgian White Ale 6 Pack Bottles,,$11.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_396b7fa0-330b-4742-95e0-f828cef00925.png 4x,"Crisp and tangy with subtle citrus sweetness, Blue Moon Belgian White is a Belgian-style wheat ale beer perfect for sharing. Full of zesty orange fruitiness, this citrus beer with 5.4% ABV boasts a creamy body and light spicy wheat aroma. Pick up a Blue Moon beer 6-pack anytime you or your friends need a refreshing drink. Crafted with Valencia orange peel, a touch of coriander, oats, and wheat, this light fruity beer provides a refreshing and balanced taste for every season. Blue Moon Belgian beer pairs well with many meals, including grilled seafood, salads, marinated chicken, and Asian dishes like pad thai. Grab a Blue Moon craft beer for watching the big game or sharing a meal with friends. Don't forget to garnish your Blue Moon beer bottles with an orange round to accentuate the beer's citrus aroma. Imagined in Belgium and crafted in Denver.,•You'll get six 12-ounce beer bottles of Blue Moon Belgian White Wheat Beer,•Blue Moon craft beer with a smooth finish and 5.4% ABV,•Try this Belgian-style wheat beer brewed with Valencia orange peel for a subtle sweetness and bright, citrus aroma,•Heighten the citrus beer taste by garnishing your Blue Moon beer with an orange round,•Grab a Blue Moon beer 6-pack to share a refreshing drink with friends or a grilling beer at a party or sporting event,•Enjoy during a night with friends and pair with salads, seafood or marinated chicken dishes,•Carry case of Blue Moon beer makes it easy to bring refreshing drinks anywhere you need","Water, Barley Malt, Wheat, Yeast, Hop Extract, Oats, Orange Peel, Coriander.",Enjoy & serve with an orange garnish.,"Government warning: (1) according to the surgeon general, women should not drink alcohol beverages during pregnancy because of the risk of birth defects. (2) consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems. .",,,
Stella Artois Beer 12 Pack Bottles,,$19.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_70731f4e-1d6f-40dd-808c-9cb620a3ac0d.png 4x,"Stella Artois is an authentic, imported lager beer. This premium imported beer is made with light barley malt, and Tomahawk and Saaz hops. The brewing process lends to a wonderful floral aroma, well-balanced malt sweetness, crisp hop bitterness and a soft dry finish. Stella Artois beer is brewed with over 600 years of expertise and has 5.0% ABV per 11.2 fluid ounce serving. This 12 pack of beer bottles is perfect for social gatherings with friends, and pairs well with steak, tacos and chocolate desserts. Pour this bottled beer in a Stella Artois Chalice for the most authentic and traditional drinking experience.,12 pack of 11.2 fl oz bottles of Stella Artois Lager,Premium blonde lager beer,Stella beer is full of well-balanced malt sweetness, crisp hop bitterness and a soft dry finish,Made with light barley malt, and Tomahawk and Saaz hops,Case of beer with a 5.0% ABV per serving",Lager Beer.,{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
"Bud Light American Lager Beer 12 Pack, 12 fl oz Bottles",,$19.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_33a3dbdf-15bc-4bbe-b872-4d5c26526305.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_914506c1-5d7a-4a47-9cc6-ac8f5c4b82a2.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c3523c03-1e78-4cf8-9f2f-ea60fa2750e8.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7c11a157-3e89-43fb-8692-cf6d4fd86a4d.jpg 4x","Bud Light is a premium beer with incredible drinkability that has made it a top selling American beer that everybody knows and loves. This light beer is brewed using a combination of barley malts, rice and a blend of premium aroma hop varieties. Featuring a fresh, clean taste with subtle hop aromas, this light lager delivers ultimate refreshment with its delicate malt sweetness and crisp finish. Bud Light is made with no preservatives or artificial flavors. Grab this pack of bottled beer when you're in charge of providing party drinks, are in need of cold beer for a tailgate or simply want to keep a pack in your fridge so you're ready when Bud Light calls your name.,12 pack of 12 fl oz bottles of Bud Light Beer,Premium light lager brewed in the USA,American lager beer with a fresh, clean taste and a refreshing, crisp finish,Made with a blend of premium aroma hop varieties, barley malts, rice and water,Case of beer brewed with hand selected hops that add the right amount of floral notes and bitterness","Water, Barley, Rice, Hops",See above for freshest before date.,"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Heineken 0.0 Alcohol Free Lager 6 Pack Bottles,,$9.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_01f65872-d3f0-4a77-b8e7-b9a8d4e267e2.png 4x,"Heineken® 0.0’s formula, alcohol content, and its label, have been reviewed and approved by the TTB in accordance with the regulations applicable to alcohol free malt beverages. Whether enjoyed cold in a bottle or can – now you can!, Heineken® 0.0 is made for those occasions where you’d like to enjoy a great-tasting beer but without the alcohol., Great Heineken refreshing taste without the alcohol and only 69 calories , Alcohol-free, unlike most of the non-alcoholic beers, Heineken 0.0 Alcohol Free Import Beer 0.0% ABV, Our Heineken® branded products are intended for consumers of legal drinking age, Imported from Amsterdam, Enjoy Responsibly, Heineken’s Master Brewers started from zero and spent years exploring, brewing and tasting before they finally created a beer defined by its refreshingly fruity notes and soft malty body - one that deserves the Heineken® mark, and of course, with the uncompromising Heineken® taste since 1873. Heineken® 0.0 beer is made for those occasions where you’d like to enjoy a great-tasting beer but without the alcohol. As stated on its label, Heineken® 0.0 has an alcohol by volume of 0.0% and is classified as alcohol free per the Alcohol and Tobacco Tax and Trade Bureau (TTB).","Water, Malted Barley, Hop Extract And Natural Flavor",{},"Government Warning: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
Twisted Tea Original Hard Iced Tea,$5.29,$6.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_45038a9d-da9b-4a5b-911f-e747ae7c1dfc.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a0b4de60-d3b8-4ea4-82d1-3a3b556d9cc6.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0648a4ac-3db1-4877-896a-1faa9329b009.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_97a46a1e-0e02-479f-856c-1499a530deb1.jpg 4x","Twisted Tea Original is refreshingly smooth hard iced tea made with real brewed black tea and a twist of natural lemon flavor. Non-carbonated, naturally sweetened, and 5% ABV – it’s your favorite iced tea with a classic twist! Keep it Twisted.",,,"Government Warning: (1) According to the surgeon general, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
