Name,Discounted Price,Original Price,Images,Details,Ingredients,Directions,Warnings,Highlights,Peanut Free,Gluten Free
Black Box Wines Cabernet Sauvignon Red Wine Go Pack,$7.99,$9.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_06084c98-a537-499d-91e9-4fa6c8ab151c.jpeg 4x,"Made from grapes harvested in world-class appellations, Black Box Wines have won over 70 Gold Medals at wine competitions throughout the US and have been awarded over 34 Wine Enthusiast Best Buys. Through a meticulous winemaking process, each of our wines is crafted to be food-friendly, fruit-forward and easy-to-drink. Our award-winning Cabernet Sauvignon is full-bodied & smooth with aromas of black currant, oak, and vanilla, balanced tannins, and blackberry and chocolate flavors that lead to a soft finish. This compact and recyclable 500-milliliter box contains 3 glasses of wine and is a convenient choice for taking high quality wine on-the-go. Pair this smooth red wine with grilled meats or pizzas at your next picnic or cookout.",Cabernet Sauvignon,{},Contains sulfites.,,,
Whitehaven Sauvignon Blanc,$19.99,$25.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e937d659-8d22-499d-8305-c65ceb169560.png 4x,"Whitehaven Sauvignon Blanc offers an elegant, crisp and beautifully balanced expression of Marlborough wine. This white wine captures intense notes of passionfruit, lemongrass and white peach. Superbly structured and elegantly balanced, this wine features fresh-snipped greens and citrus characteristics that blend effortlessly with notes of tropical fruit. Each glass boasts the long, clean finish of classic Marlborough Sauvignon Blanc. With its bright character and crisp finish, Whitehaven Sauvignon Blanc pairs beautifully with a wide range of foods, like fresh seafood, spicy Asian dishes, grilled chicken or summer salads with fruits and veggies picked straight from the garden. Great for a variety of occasions, this wine is the perfect choice for serving at a dinner party or giving as a wine gift for a birthday or anniversary. Each 750 mL bottle contains about 5 glasses of wine with 13% alcohol by volume. The convenient twist-off cap ensures no wine opener is needed, making it easy to enjoy a bottle anytime, anywhere. The Most Awarded New Zealand Sauvignon Blanc, this wine's distinctive taste has won multiple awards and accolades, including 90 points from Wine Enthusiast and a Platinum Award from the Winemaker Challenge at the International Wine Competition in 2021. With an uncompromising focus on quality, Whitehaven uses only Marlborough grapes in its wines, ensuring that only truly authentic Marlborough character is in every wine bottle.,• One (1) 750 mL bottle of Whitehaven Sauvignon Blanc Wine,• Elegant, crisp and balanced white wine with intense notes of passionfruit, lemongrass and white peach,• New Zealand's Most Awarded Sauvignon Blanc,• Delicious on its own served chilled and paired with everything from fresh seafood to summer salads,• Also ideal for entertaining friends or giving as a gift,• Each 750 mL bottle contains about 5 glasses of wine with 13% alcohol by volume,• Convenient twist-off cap ensures no wine opener is needed,• With an uncompromising focus on quality, Whitehaven uses only Marlborough grapes in its wines",Contains Sulfites.,{},Contains sulfites,,,
Vendange Pinot Grigio White Wine Go Pack,$5.29,$7.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_a5873ed9-faf2-4edf-9e34-f77820ef2536.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2026cf95-01ae-4e4d-8662-b00f7ebaa136.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_eb73e0e7-e62a-43c3-9f76-e796a6e8af56.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_40d1da4a-48eb-4863-8fcf-b13df1216d05.png 4x","Established as one of America’s best-selling wines, Vendange offers a selection of well-balanced and high-quality varietal wines at reasonable prices. Easily recognized by its elegant and distinctive triangle-shaped label, Vendange is the ideal wine for entertaining or enjoying with a meal at home. With its fruit-forward varietal characteristics, Vendange wine is perfect for everyday consumption. This pinot grigio is pale yellow with bursting, fresh aromas of green apples and citrus. It is delicate on the tongue with a light texture that mixes melon and pear with a bright, refreshing acidity.",Pinot Grigio,{},Contains sulfites.,,,
Liberty Creek Vineyards Cabernet Sauvignon Red Wine,,$8.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b46d6ebd-c666-4dc7-9041-e846e891d03e.png 4x,"Liberty Creek Vineyards Cabernet Sauvignon Red Wine delivers deep, rich notes of delicious ripe cherries and red fruits with a hint of plum and spice. This California red wine pairs perfectly with hearty meats and rich dishes. This larger 1.5 L wine bottle contains two 750 mL bottles of wine, making it ideal for entertaining or sharing with family and friends. This full bodied red Cabernet Sauvignon wine with a long finish is best served at room temperature or slightly chilled. Liberty Creek wine is great tasting, everyday American made wine.,• One 1.5 L bottle of Liberty Creek Vineyards Cabernet Sauvignon Red Wine,• Full bodied red wine with a long finish,• Red wine with rich notes of ripe cherry and plum,• Larger bottle of wine is ideal for entertaining or sharing with family and friends,• Enjoy this red Cabernet Sauvignon wine with hearty meats and rich dishes,• California wine from Liberty Creek Vineyards,• Best served at room temperature or slightly chilled,• Glass bottle that is 100% recyclable","Dark Red Fruit and Notes of Cherry, Sulfites.",{},Contains sulfites.,,,
19 Crimes Red Wine Blend 750ml,,$14.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_6b4f1145-d33d-44ab-9904-ceb5b9395c88.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f0dd6188-8280-4e16-8240-41560f934a01.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_598ed89d-7e90-43fb-bd96-46c3558eea13.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c8b339d6-81f3-416a-a1d7-3a609350807b.jpg 4x","A crowd-pleaser known to impress any guest, 19 Crimes South Australia Red Wine is bold and balanced with oaky notes, black fruit flavors, and vanilla aromatics that complement subtle flavors of chocolate and cedar spice. 19 Crimes tells the true story of rulebreakers who beat the odds and overcame adversity to become folk heroes. British rogues guilty of at least one of the 19 crimes were sentenced to live in Australia, rather than death, and as pioneers in a frontier penal colony, they forged a new country and new lives, brick by brick. This wine celebrates the rules they broke and the culture they built. It's a bold and balanced red blend at an exceptional price. Pair this red wine with pasta or game.",Sulfites.,{},Contains sulfites,,,
Black Box Wines Pinot Noir,$19.99,$26.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_84e2759c-3bc8-4de3-ade8-3e8928bcc653.png 4x,"Made from grapes harvested in world-class appellations, Black Box Wines have won over 70 Gold Medals at wine competitions throughout the US and have been awarded over 34 Wine Enthusiast Best Buys. Through a meticulous winemaking process, each of our wines is crafted to be food-friendly, fruit-forward and easy-to-drink. One 3-liter box contains the same amount of wine as four 750ml bottles, is 40% less expensive than comparable bottled wines, and stays fresh for six weeks after opening. Our Pinot Noir displays aromas of strawberry and cherry with hints of toasty oak. Berry and cocoa flavors and the delicate, lingering finish of this red wine complements roasted poultry or vegetables.",Pinot Noir,{},Contains sulfites,,,
Stella Rosa Blueberry Semi-Sweet Red Wine 750 ml,,$15.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_89f6b509-415b-4c07-8973-b173f2528a87.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_949381a9-679c-42c4-9c89-3c6c427afaef.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_19dd6842-a451-4596-83c0-a7520b8cb10e.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_da07bb87-bb61-488a-be2a-2b1326f93f35.jpg 4x","Stella Rosa Blueberry Semi-Sweet Red Wine is a proprietary blend of several red grape varietals. The wine is combined with natural flavors of natural blueberry distillates & purée. The grapes are harvested, pressed, centrifuged, and then held cold as juice at 28 degrees Fahrenheit. The juice is fermented at various intervals throughout the year allowing the wine to remain fresh and delicate. During the fermentation process, the alcohol is created in tandem with the wine’s natural carbonation. Once the desired sweetness is achieved, the wine is centrifuged and bottled. Its natural acidity and low pH strike the perfect balance with the wine’s inherent sweetness. It is not cloying or heavy. Serve chilled by-the-glass, pour over ice, or mix with your favorite spirit for an all-natural, fruit-forward cocktail.","Wine, Water, Grape Must, Sugar, Color Added (grape Skin Extract), Natural Flavors, Sulphur Dioxide (antioxidant). No Added Juice.","Serve chilled with fresh fruit, cheese, spicy cuisine and desserts.","Contains sulfites, abv: 5%",Gluten Free,,
Apothic Crush Red Blend,$9.99,$13.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2582d097-7d93-4fea-bccc-73d3ac01c5d6.png 4x,"Apothic Crush is a luscious blend that exudes silky sophistication. This signature soft red blend features abundant notes of dark black fruit like black cherry and raspberry, complemented by aromas of caramel and milk chocolate. Ideal for a night in with friends, it pairs beautifully with grilled meats, aged cheeses, and spiced desserts. As the day winds down and the evening sets in, let Apothic Crush enhance the depth of your post-dinner conversation.,• One (1) 750 mL bottle of Apothic Crush Red Blend Red Wine,• Medium body with a velvety smooth finish,• A fruit forward wine with notes of ripe berries, cherry and raspberry jam,• Rich notes of caramel and chocolate,• Enjoy this highly versatile California red wine on its own or with anything,• Each 750 mL bottle contains about 6 glasses of wine with 13.9% alcohol by volume,• Produced and bottled by Apothic using California grapes",,{},Contains sulfites,,,
Risata Moscato d'Asti,$22.49,$27.79," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_47152d04-5ece-4d1a-914f-e3c62ad5ed52.jpg 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_aea6de64-54f3-4798-b66e-724e69d0ab09.jpg 4x",D.O.C.G. 2019 - White wine. Please recycle this bottle. Alc. 5.5% by vol. 11 Product of Italy. Bottled By: I.V.I. S.P.A. Milano - Italia.,"Grapes, Sulphur Dioxide",,Contains sulfites,,,
Barefoot Cabernet Sauvignon Red Wine,$9.29,$11.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_25d1f982-6a05-40c2-9127-5a78336ea8fe.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_29ce0691-8273-4eae-96a8-811b780e1106.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2cdabc40-146f-4edf-b0bf-085911015528.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d9de8e3d-bd63-49ac-aec4-790b6fed9005.png 4x","Barefoot Cabernet Sauvignon Red Wine is smooth and balanced with light tannins. This red wine in a 750 mL bottle has big berry notes and aromas of raspberry and blackberry with a long velvety vanilla finish. This California red wine is ideal for backyard barbecues and casual gatherings with friends. This Barefoot wine pairs perfectly with beef, cheeseburgers or red sauce pasta dishes and is best served at room temperature. Barefoot Cabernet Sauvignon is one of our original and most traditional red wine types.,• One 750 mL bottle of Barefoot Cabernet Sauvignon Red Wine,• Fruit forward notes of raspberry, red grapes and blackberry jam,• Ideal for backyard barbecues and casual gatherings with friends,• Enjoy this red wine with beef, cheeseburgers or red sauce pasta dishes,• Cabernet Sauvignon with a smooth, velvety vanilla finish,• Red wine from California,• From Barefoot, the most awarded wine brand in US competitions,• Best served at room temperature","Cabernet Sauvignon, Sulfites.",{},"GOVERNMENT WARNING: (1) According to the Surgeon General, women should not drink alcoholic beverages during pregnancy because of the risk of birth defects. (2) Consumption of alcoholic beverages impairs your ability to drive a car or operate machinery, and may cause health problems.",,,
