Name,Discounted Price,Original Price,Images,Highlights,Gluten Free,Details,Ingredients,Directions,Warnings,"Indulge in the delicious taste of Bacala Rico Salted Pollock Fillets. These pollock fillets are salted to perfection, giving them a rich and savory flavor that will leave your taste buds wanting more. Pollock is a mild-tasting fish that is low in fat and high in protein, making it a healthy addition to your diet. The Bacala Rico brand is a trusted source of seafood products, known for their commitment to quality and sustainability. You can find these fillets on Instacart, available for same-day delivery or pickup from your local store. Enjoy these mouth-watering pollock fillets as part of your next meal — you—and your family—will love them!","When you want a taste of the ocean, Jolly Roger Fresh Pacific Oysters are a must-try. The meaty and briny flavor is perfect for seafood lovers and those new to oysters alike. Each oyster is carefully harvested from the icy waters of the Pacific Northwest, ensuring quality and freshness in every bite. Oysters are also packed with healthy nutrients such as vitamin B12, zinc, and omega-3 fatty acids. Enjoy them raw or cooked to your liking, and savor the taste of the sea. With Instacart's same-day delivery or pickup, you can easily bring home these delicious oysters without leaving your house.",Milk Free,"For a delicious and easy meal, try Handy Pasteurized Crab Cake Combo Crab Meat. This 8 oz container of frozen crab meat is perfect for making savory crab cakes or adding to salads and sandwiches. With 11 grams of protein per serving and zero carbohydrates, this crab meat is the perfect choice for anyone looking to maintain a healthy diet. Plus, it's pasteurized and free from shells, making preparation a breeze. Simply keep refrigerated until ready to use. Instacart offers same-day delivery or pickup so you can enjoy fresh seafood without ever leaving your home.","Nothing beats the convenience of having restaurant-quality shrimp at home. Censea Peeled & Deveined Shrimp is a delicious and healthy addition to your meals—packed with 15g of protein and only 70 calories per serving, it’s perfect for those on a low-calorie diet. This peeled and deveined shrimp is gluten-free and contains only two ingredients: shrimp and salt. With Instacart's same-day delivery or pickup, you can enjoy this high-quality seafood in no time. Impress your family with mouth-watering shrimp scampi or add it to your favorite salad for a burst of flavor. You—and your taste buds—will thank you!","Savor the delicate flavor of Sea Best Flounder fillets, now available on Instacart for same-day delivery or pickup. These fillets are easy to prepare, and their mild taste pairs well with a variety of seasonings and sauces. To cook them, simply place them in a lightly oiled baking dish and bake at 425 degrees F for 6 to 10 minutes per inch of thickness or pan fry for a golden-brown finish. This seafood delicacy comes with convenient thawing directions and contains no bones after cooking. Plus, with only two simple ingredients: flounder and sodium tripolyphosphate, you can enjoy a tasty meal without any added fillers or preservatives."
Echo Falls Traditional Oak Smoked Scottish Atlantic Salmon,,$9.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_87427b0b-ea16-4341-afa1-dc161ac87cdb.png 4x,,,"Finest hardwoods & herbs. Traditional pure smoked seafood. Oak smoked. Eilean Donan Castle, Loch Long. Our Smoked Scottish Atlantic Salmon's superior quality creates a succulent and delicate eating experience enjoyed by seafood lovers around the world. Farm raised.","Atlantic Salmon (color Added), Salt, Natural, Hardwood Smoke, Nisin (preservative).","Serving Suggestions: 1. Top a cracker with a dollop of creme fraiche, a slice of smoked salmon and a sprig of dill. 2. Slice a croissant and lay-in thin layers of smoked salmon with capers and cream cheese. 3. Spoon fresh potato salad on a plate and top with smoked salmon and ground black pepper.,Important: Must be kept refrigerated at or below 38 degrees F. For best quality enjoy by date marked on package. Use within 4 days after opening.,For best quality enjoy by date marked on package. Use within 4 days after opening.",May contain bones.,,,,,,
Honey Smoked Fish Co Original Flavor Salmon,,$10.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8031dd53-0e76-428f-87c5-e9ea61bd8048.png 4x,,,"Ready-to-eat straight outta’ the bag! Honey Smoked Salmon® is fresh, never frozen – meaning our sustainably sourced salmon is ready to enjoy within days after being caught. Food this nutritious isn’t supposed to be crazy flavorful; any kale or broccoli fans? Swimming in good-for-you stuff like Omega-3’s, protein, and Vitamin D, you can feel good about adding Honey Smoked Salmon® to any meal or snack.,We’re not one to share our secrets, but we’ll let you in on one – it’s our small batch smoking process that really seals the deal. After marinating for 90 minutes, our salmon spends a toasty five hours smoking over hardwood hickory chips locking in our signature Honey Smoked flavor.,All that sound good? We think so too. That’s why we’re passionate about our Honey Smoked Salmon®. Try it once, and you’ll be hooked! Pun intended.","Atlantic Salmon, Water, Salt, Honey, Herbs & Spices, Citric Acid, Garlic, Onion, Color Added through Feed","Think Outside The Lox: pizza; salads; eggs; sandwiches; crackers; pasta. If you prefer your salmon warm, flake on top of the dish you are preparing like pizza or pasta.,Keep refrigerated at or below 38 degrees F.,Use within 5 days of opening. Can be frozen up to 12 months. For best flavor, remove from refrigerator and package 25 minutes prior to serving.",Contains Fish (Salmon),,,,,,
"Trans-Ocean Imitation Crab, Flake Style",,$7.19, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_62ae3688-c225-4e7f-916b-e35641def611.jpeg 4x,Gluten Free,,"Fully cooked. Ready to eat. MSC: Certified sustainable seafood. msc.org. Certified Sustainable Seafood. MSC. Www.msc.org. The Alaska Pollock and Pacific Whiting in this product comes from a fishery that has been independently certified to the MSC's standard for a well-managed and sustainable fishery. www.msc.org.,• Fat Free/No Fat,• Gluten Free","Fish Protein (alaska Pollock And/or Pacific Whiting, Msc Certified), Water, Pea Starch, Egg Whites, Sugar, Potato Starch, Modified Tapioca Starch, Contains 2% Or Less Of: Beni-zuwai Crab Meat, Natural And Artificial Flavor (extracts Of Blue Crab, Snow Crab, Lobster, And Alaska Pollock), Rice Wine (water, Rice, Koji), Sea Salt, Sorbitol, Carrageenan, Yam Flour, Potassium Chloride, Disodium Inosinate, Sodium Pyrophosphate, Carmine, Paprika, Color Added.","Must be kept refrigerated to maintain safety.,Tear to open.,For best results, use within 3 days after opening. Product can be frozen prior to use-by-date, and kept frozen for up to 9 months.","Allergen information: contains fish (alaska pollock, pacific whiting), crustacean shellfish (beni-zuwai crab, snow crab, blue crab, lobster), egg.",,,,,,
Echo Falls Cracked Pepper Hot Smoked Coho Salmon,,$7.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fe0e69ec-6819-4b3e-911d-3fab343636b5.png 4x,,,Oak smoked. Salmon’s delicate flavor and firm texture are perfect for smoking. Select fillets are cured and slowly smoked over oak using our special Cracked Pepper recipe to add a richly seasoned flavor to this delicious fish.,"Coho Salmon (color Added), Salt, Brown Sugar, Pepper, Natural Hardwood Smoke.","Important: Must be kept refrigerated at or below 38 degrees F.,Opening Instructions: To remove from package, slide knife under salmon.,For best quality enjoy by date marked on package. Use within 4 days after opening.",May contain bones.,,,,,,
Echo Falls Hot Smoked Traditional Coho Salmon,,$7.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b72f1621-c793-469a-864a-3f645cbff0fe.png 4x,,,Oak smoked. Salmon’s delicate flavor and firm texture are perfect for smoking. Select fillets are cured and slowly smoked over oak using a traditional recipe to add a richly seasoned flavor to this delicious fish.,"Coho Salmon (color Added), Salt, Brown Sugar, Natural Hardwood Smoke.","Important: Must be kept refrigerated at or below 38 degrees F.,Opening Instructions: To remove from package, slide knife under salmon.,For best quality enjoy by date marked on package. Use within 7 days after opening.",Keep Refrigerated,,,,,,
"PanaPesca Mussel Meats, Cooked, All Natural",,$5.89," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_20411013-92c5-48d1-b6a1-237aea060fae.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0dcd09b3-137a-4e04-94e3-63525a14683c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_da06569f-585f-47d9-bc17-f3389ebb17e1.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c2e85104-8482-4be3-979f-593324a3bbfc.png 4x",,,All natural. PanaPesca - Applying the science of quality. Prepare in your favorite Seafood Recipes. www.asc-aqua.org. Farmed Responsibly ASC Certified: This product has met the ASC's global standard for responsibly farmed seafood. www.asc-aqua.org. Farm-raised product of Chile. Packed in Thailand.,Fully Cooked And Individually Frozen Mussel Meats,"Dutch Mussels: 1 pack of PanaPesca mussel meats. 1/4 medium onion, minced. 1/2 clove garlic, de-germed, crushed. 1 tbsp unsalted butter. 3 tbsp chopped, peeled, seeded plum tomatoes. Dash worcestershire sauce. 1 tsp sugar. Sweat onion and garlic in butter until soft and translucent. Add tomato, worcestershire sauce and sugar. Raise heat, add mussel meat and heat through. Serve on toast points, or on a bed of lettuce with potato salad. Yield: 1 serving. Prepare in your favorite seafood recipes.,Keep frozen, thaw under refrigeration before use, do not refreeze. Keep frozen until use.","Contains: mussels., CA Prop 65 Warning: Reproductive Harm - www.P65warnings.ca.gov/food., Caution: May contain shell fragments.",,,,,,
"LASCco Salmon, Nova, Atlantic, Smoked",,$8.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_2c72e8de-3643-4705-a1a1-4de6392b18f5.jpeg 4x,,,• Kosher,"Atlantic Salmon (color Added), Salt, Sugar, Sodium Benzoate, Sodium Erythorbate, Sodium Nitrite, (added As Preservatives), Natural Hardwood Smoke.","Serving Suggestions: Whip up with cream cheese and herbs. Wrap around fresh fruits or blanched vegetables. Use on a bagel or in canapes. Great in Spanish egg tortillas. Perfect as a salad topper.,Keep refrigerated at 38 degrees F or below.",Allergens: contains fish (salmon).,,,,,,
"Louis Kemp Crab Delights Crab Delights, Chunk Style",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_43417fbc-7211-4aa9-afd1-bca52250d939.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_fc882860-09d0-4c2a-8145-966e2d3b6baa.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3c385745-62d3-43ae-aef9-e2ffc30c5f54.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c1df84a4-1c2a-4ec5-8d18-6fa743208a06.png 4x",,,"Crab flavored seafood, made from Surimi, a fully cooked fish protein. Healthy. 90 calories. 0 g fat. Quality since 1930. Fully cooked & ready to serve. Alaska seafood. Wild, natural & sustainable. Product of USA.","Alaska Pollock, Water, Potato Starch, Corn Starch, Sugar, Sorbitol, Egg Whites, Contains 2% Or Less Of: Snow Crab Meat, Mirin Wine (sake, Sugar, Salt, Water, Yeast Extract), Potassium Chloride, Salt, Artificial Crab Flavor, Sodium Tripolyphosphate, Tetrasodium Pyrophosphate, Color Added, Carmine, Paprika Oleoresin.","Keep refrigerated at 32 degrees - 38 degrees F. Do not freeze.,Once opened, use within 3 days.","Contains: fish (alaska pollock), egg, crustacean shellfish (snow crab).",,,,,,
"LASCco Salmon, Nova, Wild Caught, Keta",,$8.29, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_72ab7bed-f99e-4679-a8bd-58f6770a9be9.jpeg 4x,,,Los Angeles Smoking and Curing Co. Fancy. Original grade.,"Chum Salmon, Salt, Sugar, Sodium Benzoate, Sodium Erythorbate, Sodium Nitrite, (added As Preservatives), Fd&c Yellow #5, Yellow #6, Red #40, Blue #1, Natural Hardwood Smoke.","Serving Suggestions: Whip up with cream cheese and herbs. Wrap around fresh fruits or blanched vegetables. Use on a bagel or in canapes. Great in Spanish egg tortillas. Perfect as a salad topper.,Keep refrigerated at 38 degrees F or below.","Allergens: Contains: fish (salmon). , May contain bones.",,,,,,
Vita Wild Nova Salmon Sliced-Smoked,,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1fc515c9-e4e7-458d-8c3b-cc30ae85092d.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3a4acfec-1ab2-43b5-83a9-6d7f753f65db.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_30f9f36a-949c-4339-8ee1-5f646652cdc4.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_38524c11-cf9b-4224-b077-16731dd027af.png 4x",,,Since 1898. Providing quality seafood since 1898. Enjoy the mild flavor of vita's delicately smoked wild nova salmon. Sliced for your convenience. We've included one of our favorite recipe suggestions. Wild caught salmon.,"Salmon, Salt, Sugar, Sodium Nitrite (added As A Preservative), Yellow 6, Yellow 5, Red 40, Natural Smoke Flavor.",Keep frozen of refrigerate at 38 degrees F or below. Do not refreeze product.,Contains: salmon,,,,,,
Echo Falls Smoked Coho Salmon Trio,,$20.99, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1b997514-7ec7-4251-93e7-cff90d0dea83.png 4x,,,"Oak smoked. Our Echo Falls Coho Salmon Trio is a sampler of our most popular flavors. Each flavor brings its unique characteristics to your dining experience.,• Kosher","Cracked Pepper (coho Salmon (color Added), Salt, Brown Sugar, Pepper, Natural Hardwood Smoke), Traditional (coho Salmon (color Added), Salt, Brown Sugar, Natural Hardwood Smoke), Cajun Spice (coho Salmon (color Added), Salt, Brown Sugar, Cajun King Spice (salt, Spices, Paprika, Red Pepper) Garlic Powder, Cayenne Pepper, Spices, Natural Hardwood Smoke).","Serving Suggestions: 1. Create a memorable smoked salmon party platter with artfully arranged fresh cut vegetables, cheeses, fruits, and crackers. 2. Serve crispy herbed zucchini fritters with creme fraiche and smoked salmon slices as a unique appetizer. 3. Enhance a green salad with crumbled smoked salmon for an added protein boost.,Important: Must be kept refrigerated at or below 38 degrees F. For best quality enjoy by date marked on package. Use within 4 days after opening.,Opening Instructions: To remove from package, slide knife under salmon.,For best quality enjoy by date marked on packaged. Use within 4 days after opening.",May contain bones.,,,,,,
"PanaPesca Octopus, Cleaned, All Natural",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_0d1565ff-2e25-4c8c-9852-9c9a121acb3c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1d2328a0-6003-4b9c-8f60-4335f0c6ef41.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7bd2f4fa-4a37-48cf-805e-824b585c6d43.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_9187726c-cfa5-4fef-9a7c-09909b505616.png 4x",,,"PanaPesca® Cleaned Octopus.,All natural.",Cleaned Octopus,"Keep frozen, thaw under refrigeration before use, do not refreeze. Keep frozen until use.","Contains: octopus., Ca Prop 65 Warning: Reproductive harm - www.P65Warnings.ca.gov/food., Caution: May contain shell fragments.",,,,,,
Waterfront Bistro Claw Blue Swimming Crab Meat,,$11.49, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_e0977940-3684-4a2e-be9d-2bc4e35059ff.jpeg 4x,,,,"Pasteurized Crab Meat (portunus Pelagicus), Sodium Acid Pyrophosphate (to Promote Color Retention).",,Contains: crustacean shellfish (crab).,,,,,,
"Chicken of the Sea Wild Caught Smoked Alaskan Pink Salmon Packet, Natural Wood Smoke Flavor",,$4.69," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_c9d85fec-19e0-45dd-bc97-089737dd3486.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1189f7c9-4915-4dc2-89ef-e83aabc9ab97.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_760b3f07-4d76-434b-b2c3-a0d01512b7b5.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_acc4c33a-030e-41b8-9e04-a58dd1c59e9f.png 4x",,,"Chicken of the Sea Wild Caught Smoked Alaskan Pink Salmon with Natural Wood Smoke Flavor contains tender chunks of wild caught Alaskan pink salmon in spring water, perfectly smoked with natural wood smoke flavor. Our convenient salmon packets don’t require draining, so you can just tear them open and go. Take a Chicken of the Sea salmon packet with you on-the-go for a delicious, nutritious snack or lunch. Wild caught salmon pouches are rich in a wide range of essential nutrients, including protein and vitamin D, plus heart-healthy omega-3s—ideal for keto, paleo, and Mediterranean diets. This shelf stable salmon pouch is EBT eligible.,• Delicious, wild caught salmon,• Convenient, ready-to-eat packets,• Highly nutritious,• Responsibly sourced,• Versatile recipe ingredient","Smoked Pink Salmon, Salt, Brown Sugar",{},Contains: salmon,,,,,,
Waterfront Bistro Blue Swimming Lump Crab Meat,,$19.59, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3edafb5a-779f-49fc-aa86-ad0cdff6847f.jpeg 4x,,,"Wild caught; sustainably sourced; ready to eat. Our Blue Swimming crab meat is wild caught and ready to eat. Lump crab meat is meat from the backfins of the crab, and the large chunks and firm texture make it ideal for recipes like crab cakes, pasta sauces or crab salad. 0 g trans fat; 17 g protein; good source of calcium. Product of Philippines/Vietnam.","Pasteurized Crab Meat (portunus Pelagicus), Sodium Acid Pyrophosphate (to Promote Color Retention).",Keep refrigerated at 33-36 degrees F. Do not freeze. Consume within 2 days of opening. Discard container after use.,Contains: crustacean shellfish (crab).,,,,,,
"Matlaw's Scallops, Stuffed, New England Style",,, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_33a02f83-d193-42c7-ab4c-ee8cb07a1416.png 4x,,,Discover. Grill-ready. Visit www.Matlaws.com for recipes and more!,"Water, Bread Crumbs (enriched Wheat Flour (flour, Malted Barley Flour, Reduced Iron, Niacin, Thiamine Mononitrate, Riboflavin, Folic Acid), Water, Yeast, Partially Hydrogenated Soybean Oil, Salt. Contains 2% Or Less Of The Following: Sough Conditioner's (sodium Stearoyl Lactylate, Ammonium Sulfate, Calcium Sulfate, L-cysteine Hydrochloride, Enzymes, Ascorbic Acid), Corn Flour, Calcium Propionate, Sesame Seeds, Poppy Seeds, Dried Onion, Egg Solids), Scallops, Celery, Red & Green Bell Peppers, Mayonnaise (soybean Oil, Water, Egg Yolks, Vinegar, Sugar, Mustard, Spices, Spice Extractives), Textured Soy Protein (soy Flour), Shrimp (shrimp, Salt, Sodium Tripolyphosphate, Fd&c Red #40), Canola Oil, Salt, Garlic, Hydrolyzed Corn And Soy Protein, Spices,onion, Natural Butter Flavor (maltodextrin, Salt, Starter Distillate, Paprika And Turmeric) And Parsley.","Cook & serve. Cooking Instructions (Keep frozen until ready to use): For food safety and quality, follow these cooking instructions. Cook to 160 degrees F internal product temperature. Conventional Oven: Remove scallops from tray and place on a baking sheet into a preheated 450 degrees F oven; cook for 30 minutes. On The Grill: Wrap scallops in a foil pouch; leave the top open for a crispy top or closed for softer, moister scallops. Cook on medium heat for 25 minutes with lid closed. Microwave: Place 2 scallops on a microwaveable plate. Cook on high for 4 minutes. Not recommended to cook more than 2 scallops at a time. Product was tested using an 1100 watt oven. Cooking times may vary. Caution: Product will be very hot after cooking. Refrigerate or discard leftovers.","Contains: wheat, soy, eggs, scallops, shrimp, milk",,,,,,
Acme Smoked Fish Nova Smoked Salmon,,$12.19," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7c3d7a79-960e-42ad-8057-deb563d4cb40.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_d6efc014-f46a-4c4d-a2fd-77e51fce4f76.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_efbd9504-8cee-46ac-b46f-efbaeda6b809.png 4x",,,"Acme's premium crafted Nova is your quintessential smoked salmon: rich, silky, and the slightest bit smoky. The definition of simple pleasure. But somehow, even better.","Atlantic Salmon, Salt, Celery Powder",Store below 38 degrees Fahrenheit,May contain bones,,,,,,
"Trans-Ocean Imitation Crab, Flake Style",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_27d49e1c-6be6-4516-9eba-54c66856fded.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7c4f46d8-45ec-4e0e-ba47-ceaa45567d75.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_462d2d66-b6f2-4758-b3b8-53172b482aec.png 4x",,,"A blend of Alaska pollock & king crab.,American Heart Association Certified--meets criteria for heart-healthy food. While many factors affect heart disease, diets low in saturated fat and cholesterol may help reduce the risk of this disease.,Real Seafood. Real Easy. Real Delicious. Crab Classic is made with a blend of wild Alaska pollock and king crab. It's fully cooked, so it's safe-to-eat right out of the bag. It's affordable, offering a great value. Use Crab Classic to make healthy salads, pasta dishes, snacks and a lot more.,Recipe: Real Simple Seafood Salad. Heart-Check Food Certification does not apply to recipes unless expressly stated. The Alaska Pollock in this product comes from a fishery that has been independently certified to the MSC's standard for a well-managed and sustainable fishery.","Alaska Pollock (msc Certified), Water, Egg Whites, Pea Starch, Sugar, Sorbitol, Potato Starch, Contains 2% Or Less Of: Golden King Crab Meat, Natural And Artificial Flavor (extracts Of Blue Crab, Snow Crab, Lobster, And Alaska Pollock), Refined Fish Oil* (alaska Pollock), Rice Wine (water, Rice, Koji), Modified Tapioca Starch, Sea Salt, Carrageenan, Yam Flour, Potassium Chloride, Disodium Inosinate, Sodium Pyrophosphate, Carmine, Paprika, Color Added.","Enjoy in seafood salads, hot dishes & snacks.,Must be kept refrigerated to maintain safety.,For best results, use within 3 days after opening. Product can be frozen prior to use-by-date and kept frozen for up to 9 months.","Contains: fish (alaska pollock), crustacea shellfish (golden king crab, blue crab, snov crab, lobster), egg.",,,,,,
"Signature SELECT Crabmeat, Imitation, Leg Style",$2.29,$2.99," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_36f927b8-e9cc-481d-a07b-f3ba75cf2137.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_8832406a-af4a-43d6-9bb5-52641b51ba6b.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_f2182a91-09c2-45ad-b857-f19fbd143fb4.png 4x",,,"Estd 2009. Fully cooked & ready to eat. Delicious inspiration made easy. Responsible Choices Made Easy: Our leading sourcing standards help maintain sustainable seafood populations and ecosystems today - and for future generations. It's not just a logo, it's our commitment.","Fish Protein (alaska Pollock [gadus Chalcogrammus] And/or Pacific Whiting [merluccius Productus]), Water, Pea Starch, Egg Whites, Sugar, Potato Starch, Modified Tapioca Starch, Contains 2% Or Less Of: Beni-zuwai Crabmeat (chionoecetes Japonicus), Natural And Artificial Flavor (extracts Of Blue Crab, Snow Crab, Lobster, And Alaska Pollock), Rice Wine (water, Rice, Koji), Sea Salt, Sorbitol, Carrageenan, Yam Flour, Potassium Chloride, Disodium Inosinate, Sodium Pyrophosphate, Carmine (color), Paprika (color), Cacao (color), Titanium Dioxide (color).","Perishable. Keep refrigerated.,For best results, use within 3 days after opening.","Contains: fish (alaska pollock, pacific whiting), crustacean shellfish (beni-zuwai crab, blue crab, snow crab, lobster), egg.",,,,,,
"Ducktrap River of Maine Spruce Point Cold Smoked Atlantic Salmon, Gravlax",,$9.49," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_7a72f288-31f4-4443-bd98-1cccbc11be0a.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_aad70e3e-986e-4cc6-8948-351a2554dcfe.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_1a54b63e-3af2-41f3-bb9e-919af283ed6e.png 4x",Gluten Free,,"Spruce Point gravlax-style salmon is created from Atlantic Salmon fillets & proudly smoked in Maine by Ducktrap River of Maine. Fillets are lightly trimmed and cold smoked in small batches with a unique recipe blend of maple, oak, cherry, and apple woods. A spice blend of dill, lemon, onion and garlic is hand-applied to create this savory delicacy. This smoked salmon is thinly sliced, skin is removed.","ATLANTIC SALMON (color added through feed), SALT, DILL, LEMON PEEL, CITRIC ACID, DEHYDRATED ONION, DEHYDRATED GARLIC, CANE SUGAR, BLACK PEPPER. CONTAINS: SALMON (FISH).","Hosting Tip - For maximum flavor, allow smoked salmon to remain at room temperature for 30 minutes prior to serving.,Suggestions for Serving: Ducktrap smoked salmon is a convenient everyday meal solution. Breakfast: omelet, bagel and cream cheese (2-3 slices). Lunch: sandwich, wrap (4-5 slices). Dinner: salad, pasta (4-5 slices). Appetizer/Snack: multigrain cracker, cucumber bites (2-3 slices).,Keep refrigerated at 38 degrees F (3 degrees C) or less. Proper Storage: Ducktrap smoked salmon is required to be kept refrigerated at 38 degrees F or less when not being served. Consume before the ""Use By"" date. Once opened, store unused portions well wrapped in the refrigerator and eat within 4 days. Unopened, this package can be stored in the freezer for 3 months.,Use within four days of opening.",,,,,,,
"Louis Kemp Crab Delights Crab Delights, Flake Style",,," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_dd89c31c-ab5d-42fb-ad43-68eeb263ec10.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_39243857-b38f-4fcf-bfe4-87d73730ad3c.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_cff11255-9df8-4b79-8ff9-65650700b685.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_674276d3-7729-4402-be29-7bdc78d44e9b.png 4x",,,"Louis Kemp® Crab Delights® Flake Style Imitation Crabmeat.,Quality since 1930.,150mg omega 3.,Low cholesterol.,70 calories.,6g protein.,Amounts listed are per serving.","Alaska Pollock, Water, Potato Starch, Corn Starch, Sugar, Sorbitol, Egg Whites, Contains 2% Or Less Of: Snow Crab Meat, Mirin Wine (sake, Sugar, Salt, Water, Yeast Extract), Potassium Chloride, Salt, Artificial Crab Flavor, Sodium Tripolyphosphate, Tetrasodium Pyrophosphate, Color Added, Carmine, Paprika Oleoresin.","Keep refrigerated at 32 degrees - 38 degrees F. Do not freeze.,Once opened, use within 3 days.","Contains: fish (alaska pollock), egg, crustacean shellfish (snow crab).",,,,,,
"Echo Falls Coho Salmon, Cajun Spice, Hot Smoked",,$11.09," https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_b1c910d7-1a8b-473a-a6d0-ee45d819abb9.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_3d2e1577-ba1d-480b-abb4-29ac8b1cc2f0.png 4x, https://www.instacart.com/image-server/272x272/www.instacart.com/assets/domains/product-image/file/large_59f16a5d-381c-4ba4-8d93-ab4191b05db4.png 4x",,,"Salmon’s delicate flavor and firm texture are perfect for smoking. Select fillets are cured and slowly smoked over oak using our distinctive Cajun recipe to add a richly seasoned flavor to this delicious fish.,• Kosher","Coho Salmon (color Added), Salt, Brown Sugar, Cajun King Spice (salt, Spices, Paprika, Red Pepper) Garlic Powder, Cayenne Pepper, Spices, Natural Hardwood Smoke.","Important: Must be kept refrigerated at or below 38 degrees F.,Open Instruction: To remove from package, slide knife under salmon.,For quality enjoy by date marked on package. Use within 4 days after opening.",May contain bones.,,,,,,
